timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwr_negddct,log_2pwr_negddct
1,A05,,3_23,DI72,neg_ctrl,32.74666667,12.08333333,20.66333333,10.1725,0.000866508,-3.062227631
1,A05,,8_1,DI72,neg_ctrl,37.155,45,-7.845,-18.33583333,330853.5728,5.519635829
1,B05,,8_10,DI72,neg_ctrl,35.845,45,-9.155,-19.64583333,820323.4435,5.913985123
1,A05,,4_9,DI73,neg_ctrl,33.97,12.55666667,21.41333333,10.9225,0.000515228,-3.288000128
1,A06,,8_1,DI73,neg_ctrl,45,45,0,-10.49083333,1438.982502,3.158055513
1,A06,,8_10,DI73,neg_ctrl,45,30.105,14.895,4.404166667,0.047229541,-1.325786273
1,A04,,3_23,TBSV,neg_ctrl,41.63,32.38,9.25,-1.240833333,2.363350053,0.373528053
1,A04,,4_9,TBSV,neg_ctrl,37.81666667,31.26333333,6.553333333,-3.9375,15.32165249,1.185305608
1,A04,,8_1,TBSV,neg_ctrl,45,27.04,17.96,7.469166667,0.005643607,-2.248443209
1,B04,,8_10,TBSV,neg_ctrl,36.51,28.31,8.2,-2.290833333,4.893386826,0.689609548
1,H11,30,8_10,DI72,neg_plt,27.675,13.33,14.345,-23.96125,16332587.13,7.213054984
1,G12,30,8_10,DI73,neg_plt,34.97,11.595,23.375,-14.93125,31243.10028,4.494754123
1,G10,30,8_10,TBSV,neg_plt,30.03,11.31,18.72,-19.58625,787134.146,5.896048753
1,A02,,3_23,DI72,pos_ctrl,25.63666667,23.70333333,1.933333333,5.02375,0.030739766,-1.512299441
1,A02,,4_9,DI72,pos_ctrl,25.35333333,22.51,2.843333333,5.93375,0.016359245,-1.786236737
1,A02,,8_1,DI72,pos_ctrl,12.83,34.33,-21.5,-18.40958333,348206.4336,5.541836791
1,B02,,8_10,DI72,pos_ctrl,13.475,41.565,-28.09,-24.99958333,33544742.5,7.525624462
1,A03,,3_23,DI73,pos_ctrl,28.05666667,22.94666667,5.11,8.200416667,0.003399606,-2.468571394
1,A03,,4_9,DI73,pos_ctrl,30.04333333,22.78666667,7.256666667,10.34708333,0.000767746,-3.114782451
1,A03,,8_1,DI73,pos_ctrl,12.99,29.45,-16.46,-13.36958333,10583.8972,4.024645613
1,A03,,8_10,DI73,pos_ctrl,11.75,27.23,-15.48,-12.38958333,5365.821448,3.729636217
1,A01,,3_23,TBSV,pos_ctrl,33.72,24.71666667,9.003333333,12.09375,0.00022878,-3.64058151
1,A01,,4_9,TBSV,pos_ctrl,33.69666667,23.66666667,10.03,13.12041667,0.000112295,-3.949638972
1,A01,,8_1,TBSV,pos_ctrl,9.485,26.56,-17.075,-13.98458333,16209.85239,4.20977906
1,A01,,8_10,TBSV,pos_ctrl,9.795,24.115,-14.32,-11.22958333,2401.272361,3.380441422
1,D07,15,3_23,DI72,TBSV,45,20.68,24.32,-6.1775,72.37903661,1.859612798
1,B10,22,3_23,DI72,TBSV,20.53,15.085,5.445,-25.0525,34797974.57,7.541553966
1,D12,26,3_23,DI72,TBSV,45,16.18,28.82,-1.6775,3.198731725,0.504977818
1,A07,30,3_23,DI72,TBSV,16.315,13.155,3.16,-27.3375,169592837.5,8.229407506
1,D10,31,3_23,DI72,TBSV,45,18.045,26.955,-3.5425,11.65195395,1.06639876
1,C12,2,4_9,DI72,TBSV,45,20.27,24.73,-5.7675,54.47415472,1.7361905
1,B07,12,4_9,DI72,TBSV,27.005,18.095,8.91,-21.5875,3151265.765,6.498485031
1,D07,20,4_9,DI72,TBSV,45,16.23,28.77,-1.7275,3.311534756,0.520029318
1,D10,27,4_9,DI72,TBSV,13.98,16.92,-2.94,-33.4375,11632966569,10.06569048
1,B10,33,4_9,DI72,TBSV,11.81,13.26,-1.45,-31.9475,4141482080,9.617155786
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,-31.5475,3138656499,9.496743788
