timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwr_negddct,log_2pwr_negddct
1,A05,,3_23,DI72,Neg Ctrl,32.74666667,12.08333333,20.66333333,,,
1,A05,,8_1,DI72,Neg Ctrl,37.155,45,-7.845,,,
1,B05,,8_10,DI72,Neg Ctrl,35.845,45,-9.155,,,
1,A05,,4_9,DI73,Neg Ctrl,33.97,12.55666667,21.41333333,,,
1,A06,,8_1,DI73,Neg Ctrl,45,45,0,,,
1,A06,,8_10,DI73,Neg Ctrl,45,30.105,14.895,,,
1,A04,,3_23,TBSV,Neg Ctrl,41.63,32.38,9.25,,,
1,A04,,4_9,TBSV,Neg Ctrl,37.81666667,31.26333333,6.553333333,,,
1,A04,,8_1,TBSV,Neg Ctrl,45,27.04,17.96,,,
1,B04,,8_10,TBSV,Neg Ctrl,36.51,28.31,8.2,,,
1,H11,30,8_10,DI72,Neg_plt,27.675,13.33,14.345,,,
1,G12,30,8_10,DI73,Neg_plt,34.97,11.595,23.375,,,
1,G10,30,8_10,TBSV,Neg_plt,30.03,11.31,18.72,,,
1,A02,,3_23,DI72,Pos Ctrl,25.63666667,23.70333333,1.933333333,,,
1,A02,,4_9,DI72,Pos Ctrl,25.35333333,22.51,2.843333333,,,
1,A02,,8_1,DI72,Pos Ctrl,12.83,34.33,-21.5,,,
1,B02,,8_10,DI72,Pos Ctrl,13.475,41.565,-28.09,,,
1,A03,,3_23,DI73,Pos Ctrl,28.05666667,22.94666667,5.11,,,
1,A03,,4_9,DI73,Pos Ctrl,30.04333333,22.78666667,7.256666667,,,
1,A03,,8_1,DI73,Pos Ctrl,12.99,29.45,-16.46,,,
1,A03,,8_10,DI73,Pos Ctrl,11.75,27.23,-15.48,,,
1,A01,,3_23,TBSV,Pos Ctrl,33.72,24.71666667,9.003333333,,,
1,A01,,4_9,TBSV,Pos Ctrl,33.69666667,23.66666667,10.03,,,
1,A01,,8_1,TBSV,Pos Ctrl,9.485,26.56,-17.075,,,
1,A01,,8_10,TBSV,Pos Ctrl,9.795,24.115,-14.32,,,
1,D07,15,3_23,DI72,TBSV,45,20.68,24.32,13.12275,0.000112114,-3.950341376
1,B10,22,3_23,DI72,TBSV,20.53,15.085,5.445,-5.75225,53.90136862,1.731599793
1,D12,26,3_23,DI72,TBSV,45,16.18,28.82,17.62275,4.95477E-06,-5.304976356
1,A07,30,3_23,DI72,TBSV,16.315,13.155,3.16,-8.03725,262.695923,2.419453333
1,D10,31,3_23,DI72,TBSV,45,18.045,26.955,15.75775,1.80486E-05,-4.743555414
1,C12,2,4_9,DI72,TBSV,45,20.27,24.73,13.53275,8.43794E-05,-4.073763674
1,B07,12,4_9,DI72,TBSV,27.005,18.095,8.91,-2.28725,4.881247824,0.688530858
1,D07,20,4_9,DI72,TBSV,45,16.23,28.77,17.57275,5.1295E-06,-5.289924856
1,D10,27,4_9,DI72,TBSV,13.98,16.92,-2.94,-14.13725,18019.23322,4.255736306
1,B10,33,4_9,DI72,TBSV,11.81,13.26,-1.45,-12.64725,6415.073146,3.807201613
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,-12.24725,4861.716321,3.686789614
1,D02,18,8_1,DI72,TBSV,16.455,13.99,2.465,-8.73225,425.2743404,2.62866918
1,D05,26,8_1,DI72,TBSV,19.845,19.195,0.65,-10.54725,1496.368722,3.175038622
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68,-8.51725,366.3934748,2.563947731
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795,-9.40225,676.6425067,2.830359277
1,B08,5,8_10,DI72,TBSV,45,15.605,29.395,18.19775,3.32607E-06,-5.478068604
1,D08,22,8_10,DI72,TBSV,16.12,16.665,-0.545,-11.74225,3425.858859,3.534769467
1,D02,43,8_10,DI72,TBSV,28.715,18.09,10.625,-0.57225,1.486840612,0.172264415
1,D05,50,8_10,DI72,TBSV,12.535,12.445,0.09,-11.10725,2206.050345,3.343615419
1,A11,51,8_10,DI72,TBSV,45,13.88,31.12,19.92275,1.00613E-06,-5.997345346
1,D08,15,3_23,DI73,TBSV,32.795,17.975,14.82,-2.96675,7.817731304,0.89308074
1,A11,22,3_23,DI73,TBSV,28.795,13.225,15.57,-2.21675,4.648450845,0.667308243
1,E12,26,3_23,DI73,TBSV,34.29,14.915,19.375,1.58825,0.332574624,-0.478110891
1,B08,30,3_23,DI73,TBSV,40.25,11.875,28.375,10.58825,0.00064956,-3.187380852
1,D11,31,3_23,DI73,TBSV,32.395,17.195,15.2,-2.58675,6.007438608,0.778689341
1,E12,2,4_9,DI73,TBSV,45,20.72,24.28,6.49325,0.011100358,-1.954663019
1,A08,12,4_9,DI73,TBSV,45,18.75,26.25,8.46325,0.0028334,-2.547692111
1,D08,20,4_9,DI73,TBSV,30.145,15.675,14.47,-3.31675,9.964172515,0.998441238
1,C11,27,4_9,DI73,TBSV,24.185,16.325,7.86,-9.92675,973.3062439,2.988249509
1,B11,33,4_9,DI73,TBSV,27.12,13.195,13.925,-3.86175,14.53793041,1.162502586
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27,-9.51675,732.533029,2.864827211
1,D03,18,8_1,DI73,TBSV,27.395,15.235,12.16,-5.62675,49.41064556,1.693820528
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645,-7.14175,141.2150459,2.149880972
1,D09,43,8_1,DI73,TBSV,26.925,17.905,9.02,-8.76675,435.566745,2.639054714
1,A09,51,8_1,DI73,TBSV,29.425,16.095,13.33,-4.45675,21.95914534,1.341615433
1,B09,5,8_10,DI73,TBSV,45,12.965,32.035,14.24825,5.13865E-05,-4.289150636
1,D09,22,8_10,DI73,TBSV,36.395,25.565,10.83,-6.95675,124.2196846,2.094190422
1,D03,43,8_10,DI73,TBSV,45,16.215,28.785,10.99825,0.000488874,-3.31080315
1,D06,50,8_10,DI73,TBSV,28.195,11.065,17.13,-0.65675,1.576527133,0.19770145
1,B12,51,8_10,DI73,TBSV,45,11.595,33.405,15.61825,1.9881E-05,-4.70156173
1,D06,15,3_23,TBSV,TBSV,12.095,19.95,-7.855,-5.06775,33.53858692,1.525544761
1,B09,22,3_23,TBSV,TBSV,11.93,14.395,-2.465,0.32225,0.799821518,-0.097006916
1,A12,26,3_23,TBSV,TBSV,12.715,16.59,-3.875,-1.08775,2.125423009,0.327445378
1,A06,30,3_23,TBSV,TBSV,19.355,12.16,7.195,9.98225,0.000988652,-3.004956674
1,C09,31,3_23,TBSV,TBSV,11.67,20.815,-9.145,-6.35775,82.01125445,1.913873455
1,B12,2,4_9,TBSV,TBSV,14.15,20.88,-6.73,-3.94275,15.3775099,1.186886015
1,B06,12,4_9,TBSV,TBSV,13.13,19.605,-6.475,-3.68775,12.88615546,1.110123367
1,D06,20,4_9,TBSV,TBSV,11.935,17.065,-5.13,-2.34275,5.072686492,0.705238022
1,C09,27,4_9,TBSV,TBSV,12.91,16.69,-3.78,-0.99275,1.989974577,0.298847528
1,A09,33,4_9,TBSV,TBSV,14.815,13.615,1.2,3.98725,0.0630548,-1.20028185
1,A10,14,8_1,TBSV,TBSV,13.38,17.835,-4.455,-1.66775,3.177186988,0.502042775
1,D01,18,8_1,TBSV,TBSV,13.72,14.945,-1.225,1.56225,0.33862256,-0.470284111
1,D04,26,8_1,TBSV,TBSV,12.425,18.53,-6.105,-3.31775,9.971081548,0.998742268
1,D07,43,8_1,TBSV,TBSV,12.595,16.81,-4.215,-1.42775,2.690268189,0.429795576
1,A07,51,8_1,TBSV,TBSV,14.11,15.935,-1.825,0.96225,0.513255825,-0.289666113
1,A07,5,8_10,TBSV,TBSV,12.03,12.33,-0.3,2.48725,0.178345906,-0.748736857
1,D07,22,8_10,TBSV,TBSV,14.315,15.735,-1.42,1.36725,0.387629426,-0.411583262
1,C01,43,8_10,TBSV,TBSV,11.445,14.8,-3.355,-0.56775,1.48221014,0.17090978
1,D04,50,8_10,TBSV,TBSV,14.865,10.475,4.39,7.17725,0.006909275,-2.160567536
1,B10,51,8_10,TBSV,TBSV,11.63,11.805,-0.175,2.61225,0.163543916,-0.786365606
1,H09,9,3_23,DI72,TBSV_DI72,20.69,13.955,6.735,-4.46225,22.04302018,1.343271098
1,G02,25,3_23,DI72,TBSV_DI72,13.225,13.93,-0.705,-11.90225,3827.66804,3.582934266
1,H06,27,3_23,DI72,TBSV_DI72,45,14.375,30.625,19.42775,1.41796E-06,-5.848335498
1,E02,28,3_23,DI72,TBSV_DI72,18.245,20.715,-2.47,-13.66725,13009.24846,4.114252208
1,E05,32,3_23,DI72,TBSV_DI72,14.43,19.17,-4.74,-15.93725,62746.6145,4.797590298
1,E02,5,8_1,DI72,TBSV_DI72,16.145,15.67,0.475,-10.72225,1689.347024,3.227718871
1,E11,10,8_1,DI72,TBSV_DI72,17.515,18.335,-0.82,-12.01725,4145.26897,3.617552715
1,D11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475,-10.72225,1689.347024,3.227718871
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59,-11.78725,3534.400959,3.548315816
1,F08,39,8_1,DI72,TBSV_DI72,14.675,11.815,2.86,-8.33725,323.416618,2.509762331
1,D11,12,8_10,DI72,TBSV_DI72,16.21,15.125,1.085,-10.11225,1106.854598,3.044090574
1,E08,17,8_10,DI72,TBSV_DI72,16.285,18,-1.715,-12.91225,7708.583153,3.886974562
1,E11,27,8_10,DI72,TBSV_DI72,16.525,12.835,3.69,-7.50725,181.9313051,2.259907435
1,E02,47,8_10,DI72,TBSV_DI72,16.68,16.35,0.33,-10.86725,1867.962788,3.27136822
1,F05,54,8_10,DI72,TBSV_DI72,34.59,19.145,15.445,4.24775,0.052638055,-1.278700164
1,G10,9,3_23,DI73,TBSV_DI72,32.1,12.325,19.775,1.98825,0.252044434,-0.598522889
1,H03,25,3_23,DI73,TBSV_DI72,27.715,13.03,14.685,-3.10175,8.584594565,0.933719789
1,H07,27,3_23,DI73,TBSV_DI72,36.57,13.02,23.55,5.76325,0.018411488,-1.734911123
1,F03,28,3_23,DI73,TBSV_DI72,26.525,17.82,8.705,-9.08175,541.8501066,2.733879163
1,H04,32,3_23,DI73,TBSV_DI72,24.755,18.435,6.32,-11.46675,2830.321059,3.451835703
1,E03,5,8_1,DI73,TBSV_DI72,30.195,17.68,12.515,-5.27175,38.63268381,1.58695488
1,E12,10,8_1,DI73,TBSV_DI72,31.33,18.7,12.63,-5.15675,35.67273685,1.55233643
1,C12,11,8_1,DI73,TBSV_DI72,28.95,16.94,12.01,-5.77675,54.82454391,1.738975027
1,E06,13,8_1,DI73,TBSV_DI72,33.41,17.215,16.195,-1.59175,3.014147462,0.479164496
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.455,19.63,1.84325,0.278693257,-0.55487354
1,D12,12,8_10,DI73,TBSV_DI72,26.81,14.045,12.765,-5.02175,32.48608533,1.511697381
1,E09,17,8_10,DI73,TBSV_DI72,26.2,16.365,9.835,-7.95175,247.5798343,2.393715268
1,F12,27,8_10,DI73,TBSV_DI72,39.945,10.9,29.045,11.25825,0.000408253,-3.389070949
1,E03,47,8_10,DI73,TBSV_DI72,29.71,14.92,14.79,-2.99675,7.981998457,0.90211164
1,E06,54,8_10,DI73,TBSV_DI72,45,16.32,28.68,10.89325,0.000525781,-3.279195
1,H08,9,3_23,TBSV,TBSV_DI72,13.125,14.195,-1.07,1.71725,0.304127884,-0.51694376
1,G01,25,3_23,TBSV,TBSV_DI72,14.995,15.22,-0.225,2.56225,0.16931128,-0.771314106
1,G05,27,3_23,TBSV,TBSV_DI72,12.485,15.115,-2.63,0.15725,0.896732754,-0.047336967
1,E01,28,3_23,TBSV,TBSV_DI72,13.795,22.265,-8.47,-5.68275,51.36629101,1.710678208
1,F04,32,3_23,TBSV,TBSV_DI72,12.79,20.845,-8.055,-5.26775,38.52571962,1.58575076
1,F01,5,8_1,TBSV,TBSV_DI72,15.955,15.585,0.37,3.15725,0.112091594,-0.950426954
1,F10,10,8_1,TBSV,TBSV_DI72,15.855,17.24,-1.385,1.40225,0.378338631,-0.422119311
1,C10,11,8_1,TBSV,TBSV_DI72,14.925,16.215,-1.29,1.49725,0.354227961,-0.450717161
1,F04,13,8_1,TBSV,TBSV_DI72,17.915,17.605,0.31,3.09725,0.116851649,-0.932365154
1,F07,39,8_1,TBSV,TBSV_DI72,14.39,12.49,1.9,4.68725,0.038814782,-1.411002847
1,D10,12,8_10,TBSV,TBSV_DI72,12.315,13.985,-1.67,1.11725,0.460971672,-0.336325763
1,F07,17,8_10,TBSV,TBSV_DI72,12.125,15.105,-2.98,-0.19275,1.142940262,0.058023532
1,F10,27,8_10,TBSV,TBSV_DI72,20.455,10.54,9.915,12.70225,0.000150052,-3.823758262
1,E01,47,8_10,TBSV,TBSV_DI72,16.01,14.365,1.645,4.43225,0.046319067,-1.334240198
1,E04,54,8_10,TBSV,TBSV_DI72,12.065,15.53,-3.465,-0.67775,1.599643036,0.20402308
1,E02,7,4_9,DI72,TBSV_DI73,45,17.56,27.44,16.24275,1.28957E-05,-4.889554962
1,F05,18,4_9,DI72,TBSV_DI73,45,17.75,27.25,16.05275,1.4711E-05,-4.832359263
1,H02,23,4_9,DI72,TBSV_DI73,29.825,19.895,9.93,-1.26725,2.407023121,0.381480262
1,G06,26,4_9,DI72,TBSV_DI73,13.21,13.375,-0.165,-11.36225,2632.558727,3.420378068
1,H09,31,4_9,DI72,TBSV_DI73,45,17.735,27.265,16.06775,1.45588E-05,-4.836874713
1,B05,4,8_1,DI72,TBSV_DI73,15.635,16.335,-0.7,-11.89725,3814.425314,3.581429116
1,A08,8,8_1,DI72,TBSV_DI73,15.055,17.71,-2.655,-13.85225,14789.13446,4.169942757
1,H08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045,-12.24225,4844.896061,3.685284464
1,H02,30,8_1,DI72,TBSV_DI73,16.76,26.275,-9.515,-20.71225,1717942.12,6.235008528
1,H05,30,8_1,DI72,TBSV_DI73,15.49,16.525,-1.035,-12.23225,4811.429919,3.682274164
1,B02,35,8_1,DI72,TBSV_DI73,9.385,11.01,-1.625,-12.82225,7242.389236,3.859881862
1,H08,2,8_10,DI72,TBSV_DI73,45,22.97,22.03,10.83275,0.000548299,-3.260982686
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,-9.45725,702.9362278,2.846915926
1,H05,14,8_10,DI72,TBSV_DI73,21.27,18.575,2.695,-8.50225,362.6037412,2.559432281
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,-13.00225,8204.786057,3.914067261
1,H02,41,8_10,DI72,TBSV_DI73,45,18.28,26.72,15.52275,2.12416E-05,-4.672813365
1,E03,7,4_9,DI73,TBSV_DI73,45,17.095,27.905,10.11825,0.000899711,-3.045896754
1,H04,18,4_9,DI73,TBSV_DI73,28.27,16.37,11.9,-5.88675,59.16819584,1.772088327
1,G03,23,4_9,DI73,TBSV_DI73,30.62,19.195,11.425,-6.36175,82.23895344,1.915077575
1,G07,26,4_9,DI73,TBSV_DI73,25.04,12.82,12.22,-5.56675,47.3978594,1.675758728
1,G10,31,4_9,DI73,TBSV_DI73,45,17.165,27.835,10.04825,0.000944442,-3.024824654
1,B06,4,8_1,DI73,TBSV_DI73,26.335,17.99,8.345,-9.44175,695.4244594,2.842249962
1,A09,8,8_1,DI73,TBSV_DI73,25.685,45,-19.315,-37.10175,1.47482E+11,11.16873964
1,G09,16,8_1,DI73,TBSV_DI73,30.11,20.04,10.07,-7.71675,210.3648713,2.322973219
1,G03,30,8_1,DI73,TBSV_DI73,24.45,18.04,6.41,-11.37675,2659.151023,3.424743003
1,H06,30,8_1,DI73,TBSV_DI73,24.55,20.235,4.315,-13.47175,11360.58889,4.055400844
1,B03,35,8_1,DI73,TBSV_DI73,23.65,8.26,15.39,-2.39675,5.266155054,0.721493642
1,B01,35,8_1,DI73,TBSV_DI73,16.87,11.705,5.165,-12.62175,6302.681308,3.799525348
1,H09,2,8_10,DI73,TBSV_DI73,17.24,17.475,-0.235,-18.02175,266126.011,5.425087324
1,B12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04,-5.74675,53.69627111,1.729944128
1,H06,14,8_10,DI73,TBSV_DI73,25.345,17.785,7.56,-10.22675,1198.280545,3.078558508
1,B09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,-11.31675,2550.828164,3.406681203
1,H03,41,8_10,DI73,TBSV_DI73,33.37,15.915,17.455,-0.33175,1.258539066,0.099866701
1,E01,7,4_9,TBSV,TBSV_DI73,13.03,17.095,-4.065,-1.27775,2.42460545,0.384641077
1,E04,18,4_9,TBSV,TBSV_DI73,11.815,16.805,-4.99,-2.20275,4.60356016,0.663093823
1,G01,23,4_9,TBSV,TBSV_DI73,11.95,18.83,-6.88,-4.09275,17.06241555,1.232040515
1,G05,26,4_9,TBSV,TBSV_DI73,13.12,14.26,-1.14,1.64725,0.319248114,-0.49587166
1,H08,31,4_9,TBSV,TBSV_DI73,11.77,18.935,-7.165,-4.37775,20.78902222,1.317834064
1,B04,4,8_1,TBSV,TBSV_DI73,12.21,15.875,-3.665,-0.87775,1.837507324,0.264229079
1,B07,8,8_1,TBSV,TBSV_DI73,13.155,18.085,-4.93,-2.14275,4.416030083,0.645032023
1,G07,16,8_1,TBSV,TBSV_DI73,15.14,17.695,-2.555,0.23225,0.851306175,-0.069914216
1,H04,30,8_1,TBSV,TBSV_DI73,12.985,16.59,-3.605,-0.81775,1.762654845,0.246167279
1,G01,30,8_1,TBSV,TBSV_DI73,14.21,17.165,-2.955,-0.16775,1.123305232,0.050497782
1,G07,2,8_10,TBSV,TBSV_DI73,11.28,16.885,-5.605,-2.81775,7.050619378,0.84822727
1,B10,3,8_10,TBSV,TBSV_DI73,15.045,16.015,-0.97,1.81725,0.283761349,-0.54704676
1,G04,14,8_10,TBSV,TBSV_DI73,11.38,15.495,-4.115,-1.32775,2.510108976,0.399692577
1,B07,38,8_10,TBSV,TBSV_DI73,12.775,19.97,-7.195,-4.40775,21.22584377,1.326864963
1,G01,41,8_10,TBSV,TBSV_DI73,12.135,14.855,-2.72,0.06725,0.954455605,-0.020244267
2,A05,,3_23,DI72,Neg Ctrl,31.69666667,12.27666667,19.42,,,
2,A05,,8_1,DI72,Neg Ctrl,35.905,45,-9.095,,,
2,A05,,8_10,DI72,Neg Ctrl,37.02,45,-7.98,,,
2,A05,,4_9,DI73,Neg Ctrl,32.19,11.69333333,20.49666667,,,
2,A06,,8_1,DI73,Neg Ctrl,45,41.865,3.135,,,
2,A06,,8_10,DI73,Neg Ctrl,45,40.215,4.785,,,
2,A04,,3_23,TBSV,Neg Ctrl,38.97,35.265,3.705,,,
2,A04,,4_9,TBSV,Neg Ctrl,37.83666667,27.26666667,10.57,,,
2,A04,,8_1,TBSV,Neg Ctrl,30.9,25.88,5.02,,,
2,A04,,8_10,TBSV,Neg Ctrl,45,33.37,11.63,,,
2,G11,37,8_10,DI72,Neg_plt,28.795,15.045,13.75,,,
2,H12,37,8_10,DI73,Neg_plt,45,13.785,31.215,,,
2,H10,37,8_10,TBSV,Neg_plt,40.325,12.78,27.545,,,
2,A02,,3_23,DI72,Pos Ctrl,25.15666667,20.68666667,4.47,,,
2,A02,,4_9,DI72,Pos Ctrl,26.53,21.79333333,4.736666667,,,
2,A02,,8_1,DI72,Pos Ctrl,10.39,23.275,-12.885,,,
2,B02,,8_10,DI72,Pos Ctrl,10.315,45,-34.685,,,
2,A03,,3_23,DI73,Pos Ctrl,30.01333333,22.51666667,7.496666667,,,
2,A03,,4_9,DI73,Pos Ctrl,30.58666667,20.34666667,10.24,,,
2,A03,,8_1,DI73,Pos Ctrl,12.57,29.71,-17.14,,,
2,A03,,8_10,DI73,Pos Ctrl,11.86,22.505,-10.645,,,
2,A01,,3_23,TBSV,Pos Ctrl,33.76,25.78333333,7.976666667,,,
2,A01,,4_9,TBSV,Pos Ctrl,33.68333333,23.99666667,9.686666667,,,
2,A01,,8_1,TBSV,Pos Ctrl,9.07,22.595,-13.525,,,
2,A01,,8_10,TBSV,Pos Ctrl,10.525,37.62,-27.095,,,
2,B10,2,3_23,DI72,TBSV,18.61,18.51,0.1,-11.09725,2190.812042,3.340605119
2,C10,3,3_23,DI72,TBSV,15.74,17.775,-2.035,-13.23225,9622.859838,3.98330416
2,B07,10,3_23,DI72,TBSV,15.68,16.73,-1.05,-12.24725,4861.716321,3.686789614
2,D07,12,3_23,DI72,TBSV,15.73,17.175,-1.445,-12.64225,6392.878679,3.805696463
2,C12,13,3_23,DI72,TBSV,30.04,18.035,12.005,0.80775,0.571272109,-0.243156979
2,C12,8,4_9,DI72,TBSV,15.43,13.115,2.315,-8.88225,471.8714253,2.673823679
2,A10,16,4_9,DI72,TBSV,15.735,14.23,1.505,-9.69225,827.2903824,2.917657975
2,D07,17,4_9,DI72,TBSV,19.8,17.97,1.83,-9.36725,660.4245773,2.819823227
2,B07,25,4_9,DI72,TBSV,23.52,18.115,5.405,-5.79225,55.41674235,1.743640992
2,C10,29,4_9,DI72,TBSV,19,14.32,4.68,-6.51725,91.59836869,1.961887739
2,D02,19,8_1,DI72,TBSV,16.125,14.97,1.155,-10.04225,1054.431749,3.023018474
2,B08,32,8_1,DI72,TBSV,17.775,17.15,0.625,-10.57225,1522.524787,3.182564372
2,C05,36,8_1,DI72,TBSV,15.385,17.165,-1.78,-12.97725,8063.832743,3.906541511
2,A11,46,8_1,DI72,TBSV,25.02,14.685,10.335,-0.86225,1.817871219,0.259563114
2,D08,48,8_1,DI72,TBSV,17.115,16.75,0.365,-10.83225,1823.191009,3.260832171
2,A08,10,8_10,DI72,TBSV,14.365,45,-30.635,-41.83225,3.91527E+12,12.59276204
2,D08,19,8_10,DI72,TBSV,26.47,21.205,5.265,-5.93225,61.0639919,1.785785192
2,A11,26,8_10,DI72,TBSV,14.58,17.29,-2.71,-13.90725,15363.82696,4.186499407
2,D05,42,8_10,DI72,TBSV,25.625,29.87,-4.245,-15.44225,44522.59308,4.648580451
2,C02,53,8_10,DI72,TBSV,26.83,30.38,-3.55,-14.74725,27502.02063,4.439364604
2,A11,2,3_23,DI73,TBSV,27.275,17.94,9.335,-8.45175,350.1307595,2.544230266
2,C11,3,3_23,DI73,TBSV,25.92,17.56,8.36,-9.42675,688.2314453,2.837734512
2,B08,10,3_23,DI73,TBSV,27.205,16.46,10.745,-7.04175,131.7582967,2.119777972
2,C08,12,3_23,DI73,TBSV,24.655,16.355,8.3,-9.48675,717.4577172,2.855796311
2,E12,13,3_23,DI73,TBSV,41.78,17.53,24.25,6.46325,0.0113336,-1.945632119
2,E12,8,4_9,DI73,TBSV,32.6,13.895,18.705,0.91825,0.529150495,-0.276420794
2,B11,16,4_9,DI73,TBSV,33.18,15.41,17.77,-0.01675,1.011677875,0.005042252
2,C08,17,4_9,DI73,TBSV,24.63,18.555,6.075,-11.71175,3354.193027,3.525588052
2,A08,25,4_9,DI73,TBSV,27.89,18.46,9.43,-8.35675,327.8177131,2.515632416
2,D11,29,4_9,DI73,TBSV,29.06,16.14,12.92,-4.86675,29.1768049,1.465037731
2,C03,19,8_1,DI73,TBSV,40.05,16.56,23.49,5.70325,0.019193345,-1.716849323
2,B09,32,8_1,DI73,TBSV,45,19.055,25.945,8.15825,0.003500435,-2.455877962
2,C06,36,8_1,DI73,TBSV,28.76,12.11,16.65,-1.13675,2.198851234,0.342195848
2,A12,46,8_1,DI73,TBSV,45,19.215,25.785,7.99825,0.003910991,-2.407713163
2,C09,48,8_1,DI73,TBSV,29.075,18.095,10.98,-6.80675,111.9530482,2.049035923
2,A09,10,8_10,DI73,TBSV,27.84,18.945,8.895,-8.89175,474.9889035,2.676683464
2,C09,19,8_10,DI73,TBSV,28.715,16.51,12.205,-5.58175,47.89323559,1.680274178
2,A12,26,8_10,DI73,TBSV,37.79,10.695,27.095,9.30825,0.001577384,-2.802062457
2,C06,42,8_10,DI73,TBSV,29.975,17.175,12.8,-4.98675,31.70745107,1.501161331
2,C03,53,8_10,DI73,TBSV,29.5,19.37,10.13,-7.65675,201.795473,2.304911419
2,B09,2,3_23,TBSV,TBSV,12.455,17.835,-5.38,-2.59275,6.032474868,0.780495521
2,D09,3,3_23,TBSV,TBSV,13.385,20.705,-7.32,-4.53275,23.14694677,1.364493713
2,A06,10,3_23,TBSV,TBSV,14.045,17.97,-3.925,-1.13775,2.20037589,0.342496878
2,D06,12,3_23,TBSV,TBSV,12.49,17.01,-4.52,-1.73275,3.323607459,0.521609725
2,B12,13,3_23,TBSV,TBSV,12.135,18.265,-6.13,-3.34275,10.14537298,1.006268018
2,B12,8,4_9,TBSV,TBSV,17.955,15.245,2.71,5.49725,0.022139248,-1.654837144
2,A09,16,4_9,TBSV,TBSV,19.005,16.11,2.895,5.68225,0.019474769,-1.710527693
