timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwr_negddct,log_2pwr_negddct
1,A05,,3_23,DI72,Neg Ctrl,32.74666667,12.08333333,20.66333333,,,
1,A05,,8_1,DI72,Neg Ctrl,37.155,45,-7.845,,,
1,B05,,8_10,DI72,Neg Ctrl,35.845,45,-9.155,,,
1,A05,,4_9,DI73,Neg Ctrl,33.97,12.55666667,21.41333333,,,
1,A06,,8_1,DI73,Neg Ctrl,45,45,0,,,
1,A06,,8_10,DI73,Neg Ctrl,45,30.105,14.895,,,
1,A04,,3_23,TBSV,Neg Ctrl,41.63,32.38,9.25,,,
1,A04,,4_9,TBSV,Neg Ctrl,37.81666667,31.26333333,6.553333333,,,
1,A04,,8_1,TBSV,Neg Ctrl,45,27.04,17.96,,,
1,B04,,8_10,TBSV,Neg Ctrl,36.51,28.31,8.2,,,
1,H11,30,8_10,DI72,Neg_plt,27.675,13.33,14.345,,,
1,G12,30,8_10,DI73,Neg_plt,34.97,11.595,23.375,,,
1,G10,30,8_10,TBSV,Neg_plt,30.03,11.31,18.72,,,
1,A02,,3_23,DI72,Pos Ctrl,25.63666667,23.70333333,1.933333333,,,
1,A02,,4_9,DI72,Pos Ctrl,25.35333333,22.51,2.843333333,,,
1,A02,,8_1,DI72,Pos Ctrl,12.83,34.33,-21.5,,,
1,B02,,8_10,DI72,Pos Ctrl,13.475,41.565,-28.09,,,
1,A03,,3_23,DI73,Pos Ctrl,28.05666667,22.94666667,5.11,,,
1,A03,,4_9,DI73,Pos Ctrl,30.04333333,22.78666667,7.256666667,,,
1,A03,,8_1,DI73,Pos Ctrl,12.99,29.45,-16.46,,,
1,A03,,8_10,DI73,Pos Ctrl,11.75,27.23,-15.48,,,
1,A01,,3_23,TBSV,Pos Ctrl,33.72,24.71666667,9.003333333,,,
1,A01,,4_9,TBSV,Pos Ctrl,33.69666667,23.66666667,10.03,,,
1,A01,,8_1,TBSV,Pos Ctrl,9.485,26.56,-17.075,,,
1,A01,,8_10,TBSV,Pos Ctrl,9.795,24.115,-14.32,,,
1,D07,15,3_23,DI72,TBSV,45,20.68,24.32,27.10725,6.91679E-09,-8.16009535
1,B10,22,3_23,DI72,TBSV,20.53,15.085,5.445,8.23225,0.003325415,-2.478154182
1,D12,26,3_23,DI72,TBSV,45,16.18,28.82,31.60725,3.05682E-10,-9.51473033
1,A07,30,3_23,DI72,TBSV,16.315,13.155,3.16,5.94725,0.016206878,-1.790300642
1,D10,31,3_23,DI72,TBSV,45,18.045,26.955,29.74225,1.1135E-09,-8.953309389
1,C12,2,4_9,DI72,TBSV,45,20.27,24.73,27.51725,5.20574E-09,-8.283517648
1,B07,12,4_9,DI72,TBSV,27.005,18.095,8.91,11.69725,0.000301146,-3.521223117
1,D07,20,4_9,DI72,TBSV,45,16.23,28.77,31.55725,3.16462E-10,-9.499678831
1,D10,27,4_9,DI72,TBSV,13.98,16.92,-2.94,-0.15275,1.1116865,0.045982332
1,B10,33,4_9,DI72,TBSV,11.81,13.26,-1.45,1.33725,0.395774345,-0.402552362
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,1.73725,0.299940865,-0.52296436
1,D02,18,8_1,DI72,TBSV,16.455,13.99,2.465,5.25225,0.026237062,-1.581084795
1,D05,26,8_1,DI72,TBSV,19.845,19.195,0.65,3.43725,0.09231763,-1.034715353
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68,5.46725,0.02260444,-1.645806244
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795,4.58225,0.04174508,-1.379394698
1,B08,5,8_10,DI72,TBSV,45,15.605,29.395,32.18225,2.052E-10,-9.687822578
1,D08,22,8_10,DI72,TBSV,16.12,16.665,-0.545,2.24225,0.211356443,-0.674984508
1,D02,43,8_10,DI72,TBSV,28.715,18.09,10.625,13.41225,9.17298E-05,-4.037489559
1,D05,50,8_10,DI72,TBSV,12.535,12.445,0.09,2.87725,0.13610104,-0.866138555
1,A11,51,8_10,DI72,TBSV,45,13.88,31.12,33.90725,6.20727E-11,-10.20709932
1,D08,15,3_23,DI73,TBSV,32.795,17.975,14.82,17.60725,5.00829E-06,-5.300310391
1,A11,22,3_23,DI73,TBSV,28.795,13.225,15.57,18.35725,2.97795E-06,-5.526082888
1,E12,26,3_23,DI73,TBSV,34.29,14.915,19.375,22.16225,2.13058E-07,-6.671502021
1,B08,30,3_23,DI73,TBSV,40.25,11.875,28.375,31.16225,4.16129E-10,-9.380771982
1,D11,31,3_23,DI73,TBSV,32.395,17.195,15.2,17.98725,3.84856E-06,-5.41470179
1,E12,2,4_9,DI73,TBSV,45,20.72,24.28,27.06725,7.11125E-09,-8.14805415
1,A08,12,4_9,DI73,TBSV,45,18.75,26.25,29.03725,1.81517E-09,-8.741083242
1,D08,20,4_9,DI73,TBSV,30.145,15.675,14.47,17.25725,6.38337E-06,-5.194949893
1,C11,27,4_9,DI73,TBSV,24.185,16.325,7.86,10.64725,0.000623531,-3.205141621
1,B11,33,4_9,DI73,TBSV,27.12,13.195,13.925,16.71225,9.31347E-06,-5.030888545
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27,11.05725,0.000469284,-3.32856392
1,D03,18,8_1,DI73,TBSV,27.395,15.235,12.16,14.94725,3.16541E-05,-4.499570603
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645,13.43225,9.04669E-05,-4.043510159
1,D09,43,8_1,DI73,TBSV,26.925,17.905,9.02,11.80725,0.000279038,-3.554336416
1,A09,51,8_1,DI73,TBSV,29.425,16.095,13.33,16.11725,1.40677E-05,-4.851775698
1,B09,5,8_10,DI73,TBSV,45,12.965,32.035,34.82225,3.29199E-11,-10.48254177
1,D09,22,8_10,DI73,TBSV,36.395,25.565,10.83,13.61725,7.95791E-05,-4.099200708
1,D03,43,8_10,DI73,TBSV,45,16.215,28.785,31.57225,3.13188E-10,-9.504194281
1,D06,50,8_10,DI73,TBSV,28.195,11.065,17.13,19.91725,1.00997E-06,-5.995689681
1,B12,51,8_10,DI73,TBSV,45,11.595,33.405,36.19225,1.27364E-11,-10.89495286
1,D06,15,3_23,TBSV,TBSV,12.095,19.95,-7.855,-5.06775,33.53858692,1.525544761
1,B09,22,3_23,TBSV,TBSV,11.93,14.395,-2.465,0.32225,0.799821518,-0.097006916
1,A12,26,3_23,TBSV,TBSV,12.715,16.59,-3.875,-1.08775,2.125423009,0.327445378
1,A06,30,3_23,TBSV,TBSV,19.355,12.16,7.195,9.98225,0.000988652,-3.004956674
1,C09,31,3_23,TBSV,TBSV,11.67,20.815,-9.145,-6.35775,82.01125445,1.913873455
1,B12,2,4_9,TBSV,TBSV,14.15,20.88,-6.73,-3.94275,15.3775099,1.186886015
1,B06,12,4_9,TBSV,TBSV,13.13,19.605,-6.475,-3.68775,12.88615546,1.110123367
1,D06,20,4_9,TBSV,TBSV,11.935,17.065,-5.13,-2.34275,5.072686492,0.705238022
1,C09,27,4_9,TBSV,TBSV,12.91,16.69,-3.78,-0.99275,1.989974577,0.298847528
1,A09,33,4_9,TBSV,TBSV,14.815,13.615,1.2,3.98725,0.0630548,-1.20028185
1,A10,14,8_1,TBSV,TBSV,13.38,17.835,-4.455,-1.66775,3.177186988,0.502042775
1,D01,18,8_1,TBSV,TBSV,13.72,14.945,-1.225,1.56225,0.33862256,-0.470284111
1,D04,26,8_1,TBSV,TBSV,12.425,18.53,-6.105,-3.31775,9.971081548,0.998742268
1,D07,43,8_1,TBSV,TBSV,12.595,16.81,-4.215,-1.42775,2.690268189,0.429795576
1,A07,51,8_1,TBSV,TBSV,14.11,15.935,-1.825,0.96225,0.513255825,-0.289666113
1,A07,5,8_10,TBSV,TBSV,12.03,12.33,-0.3,2.48725,0.178345906,-0.748736857
1,D07,22,8_10,TBSV,TBSV,14.315,15.735,-1.42,1.36725,0.387629426,-0.411583262
1,C01,43,8_10,TBSV,TBSV,11.445,14.8,-3.355,-0.56775,1.48221014,0.17090978
1,D04,50,8_10,TBSV,TBSV,14.865,10.475,4.39,7.17725,0.006909275,-2.160567536
1,B10,51,8_10,TBSV,TBSV,11.63,11.805,-0.175,2.61225,0.163543916,-0.786365606
1,H09,9,3_23,DI72,TBSV_DI72,20.69,13.955,6.735,9.52225,0.001359932,-2.866482876
1,G02,25,3_23,DI72,TBSV_DI72,13.225,13.93,-0.705,2.08225,0.236145836,-0.626819708
1,H06,27,3_23,DI72,TBSV_DI72,45,14.375,30.625,33.41225,8.74804E-11,-10.05808947
1,E02,28,3_23,DI72,TBSV_DI72,18.245,20.715,-2.47,0.31725,0.802598297,-0.095501766
1,E05,32,3_23,DI72,TBSV_DI72,14.43,19.17,-4.74,-1.95275,3.871117236,0.587836324
1,E02,5,8_1,DI72,TBSV_DI72,16.145,15.67,0.475,3.26225,0.104223318,-0.982035103
1,E11,10,8_1,DI72,TBSV_DI72,17.515,18.335,-0.82,1.96725,0.255740047,-0.592201259
1,D11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475,3.26225,0.104223318,-0.982035103
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59,2.19725,0.218052887,-0.661438158
1,F08,39,8_1,DI72,TBSV_DI72,14.675,11.815,2.86,5.64725,0.019953007,-1.699991643
1,D11,12,8_10,DI72,TBSV_DI72,16.21,15.125,1.085,3.87225,0.068286774,-1.165663401
1,E08,17,8_10,DI72,TBSV_DI72,16.285,18,-1.715,1.07225,0.47557672,-0.322779413
1,E11,27,8_10,DI72,TBSV_DI72,16.525,12.835,3.69,6.47725,0.01122415,-1.949846539
1,E02,47,8_10,DI72,TBSV_DI72,16.68,16.35,0.33,3.11725,0.115242918,-0.938385754
1,F05,54,8_10,DI72,TBSV_DI72,34.59,19.145,15.445,18.23225,3.24748E-06,-5.488454138
1,G10,9,3_23,DI73,TBSV_DI72,32.1,12.325,19.775,22.56225,1.61468E-07,-6.79191402
1,H03,25,3_23,DI73,TBSV_DI72,27.715,13.03,14.685,17.47225,5.49957E-06,-5.259671342
1,H07,27,3_23,DI73,TBSV_DI72,36.57,13.02,23.55,26.33725,1.1795E-08,-7.928302253
1,F03,28,3_23,DI73,TBSV_DI72,26.525,17.82,8.705,11.49225,0.000347127,-3.459511968
1,H04,32,3_23,DI73,TBSV_DI72,24.755,18.435,6.32,9.10725,0.001813195,-2.741555428
1,E03,5,8_1,DI73,TBSV_DI72,30.195,17.68,12.515,15.30225,2.47493E-05,-4.606436251
1,E12,10,8_1,DI73,TBSV_DI72,31.33,18.7,12.63,15.41725,2.28531E-05,-4.641054701
1,C12,11,8_1,DI73,TBSV_DI72,28.95,16.94,12.01,14.79725,3.51224E-05,-4.454416103
1,E06,13,8_1,DI73,TBSV_DI72,33.41,17.215,16.195,18.98225,1.93096E-06,-5.714226635
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.455,19.63,22.41725,1.7854E-07,-6.74826467
1,D12,12,8_10,DI73,TBSV_DI72,26.81,14.045,12.765,15.55225,2.08116E-05,-4.68169375
1,E09,17,8_10,DI73,TBSV_DI72,26.2,16.365,9.835,12.62225,0.000158608,-3.799675863
1,F12,27,8_10,DI73,TBSV_DI72,39.945,10.9,29.045,31.83225,2.6154E-10,-9.582462079
1,E03,47,8_10,DI73,TBSV_DI72,29.71,14.92,14.79,17.57725,5.11353E-06,-5.291279491
1,E06,54,8_10,DI73,TBSV_DI72,45,16.32,28.68,31.46725,3.36832E-10,-9.472586131
1,H08,9,3_23,TBSV,TBSV_DI72,13.125,14.195,-1.07,1.71725,0.304127884,-0.51694376
1,G01,25,3_23,TBSV,TBSV_DI72,14.995,15.22,-0.225,2.56225,0.16931128,-0.771314106
1,G05,27,3_23,TBSV,TBSV_DI72,12.485,15.115,-2.63,0.15725,0.896732754,-0.047336967
1,E01,28,3_23,TBSV,TBSV_DI72,13.795,22.265,-8.47,-5.68275,51.36629101,1.710678208
1,F04,32,3_23,TBSV,TBSV_DI72,12.79,20.845,-8.055,-5.26775,38.52571962,1.58575076
1,F01,5,8_1,TBSV,TBSV_DI72,15.955,15.585,0.37,3.15725,0.112091594,-0.950426954
1,F10,10,8_1,TBSV,TBSV_DI72,15.855,17.24,-1.385,1.40225,0.378338631,-0.422119311
1,C10,11,8_1,TBSV,TBSV_DI72,14.925,16.215,-1.29,1.49725,0.354227961,-0.450717161
1,F04,13,8_1,TBSV,TBSV_DI72,17.915,17.605,0.31,3.09725,0.116851649,-0.932365154
1,F07,39,8_1,TBSV,TBSV_DI72,14.39,12.49,1.9,4.68725,0.038814782,-1.411002847
1,D10,12,8_10,TBSV,TBSV_DI72,12.315,13.985,-1.67,1.11725,0.460971672,-0.336325763
1,F07,17,8_10,TBSV,TBSV_DI72,12.125,15.105,-2.98,-0.19275,1.142940262,0.058023532
1,F10,27,8_10,TBSV,TBSV_DI72,20.455,10.54,9.915,12.70225,0.000150052,-3.823758262
1,E01,47,8_10,TBSV,TBSV_DI72,16.01,14.365,1.645,4.43225,0.046319067,-1.334240198
1,E04,54,8_10,TBSV,TBSV_DI72,12.065,15.53,-3.465,-0.67775,1.599643036,0.20402308
1,E02,7,4_9,DI72,TBSV_DI73,45,17.56,27.44,30.22725,7.95593E-10,-9.099308936
1,F05,18,4_9,DI72,TBSV_DI73,45,17.75,27.25,30.03725,9.07584E-10,-9.042113237
1,H02,23,4_9,DI72,TBSV_DI73,29.825,19.895,9.93,12.71725,0.0001485,-3.828273712
1,G06,26,4_9,DI72,TBSV_DI73,13.21,13.375,-0.165,2.62225,0.162414236,-0.789375906
1,H09,31,4_9,DI72,TBSV_DI73,45,17.735,27.265,30.05225,8.98196E-10,-9.046628687
1,B05,4,8_1,DI72,TBSV_DI73,15.635,16.335,-0.7,2.08725,0.235328833,-0.628324858
1,A08,8,8_1,DI72,TBSV_DI73,15.055,17.71,-2.655,0.13225,0.912407367,-0.039811217
1,H08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045,1.74225,0.298903149,-0.52446951
1,H02,30,8_1,DI72,TBSV_DI73,16.76,26.275,-9.515,-6.72775,105.9874768,2.025254553
1,H05,30,8_1,DI72,TBSV_DI73,15.49,16.525,-1.035,1.75225,0.296838474,-0.52747981
1,B02,35,8_1,DI72,TBSV_DI73,9.385,11.01,-1.625,1.16225,0.446815147,-0.349872112
1,H08,2,8_10,DI72,TBSV_DI73,45,22.97,22.03,24.81725,3.3827E-08,-7.47073666
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,4.52725,0.043367257,-1.362838048
1,H05,14,8_10,DI72,TBSV_DI73,21.27,18.575,2.695,5.48225,0.022370635,-1.650321694
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,0.98225,0.50618968,-0.295686713
1,H02,41,8_10,DI72,TBSV_DI73,45,18.28,26.72,29.50725,1.31049E-09,-8.88256734
1,E03,7,4_9,DI73,TBSV_DI73,45,17.095,27.905,30.69225,5.76384E-10,-9.239287884
1,H04,18,4_9,DI73,TBSV_DI73,28.27,16.37,11.9,14.68725,3.79051E-05,-4.421302804
1,G03,23,4_9,DI73,TBSV_DI73,30.62,19.195,11.425,14.21225,5.26849E-05,-4.278313556
1,G07,26,4_9,DI73,TBSV_DI73,25.04,12.82,12.22,15.00725,3.03646E-05,-4.517632402
1,G10,31,4_9,DI73,TBSV_DI73,45,17.165,27.835,30.62225,6.0504E-10,-9.218215785
1,B06,4,8_1,DI73,TBSV_DI73,26.335,17.99,8.345,11.13225,0.000445511,-3.351141169
1,A09,8,8_1,DI73,TBSV_DI73,25.685,45,-19.315,-16.52775,94481.87664,4.975348511
1,G09,16,8_1,DI73,TBSV_DI73,30.11,20.04,10.07,12.85725,0.000134767,-3.870417912
1,G03,30,8_1,DI73,TBSV_DI73,24.45,18.04,6.41,9.19725,0.001703538,-2.768648128
1,H06,30,8_1,DI73,TBSV_DI73,24.55,20.235,4.315,7.10225,0.007277961,-2.137990287
1,B03,35,8_1,DI73,TBSV_DI73,23.65,8.26,15.39,18.17725,3.37367E-06,-5.471897489
1,B01,35,8_1,DI73,TBSV_DI73,16.87,11.705,5.165,7.95225,0.004037702,-2.393865783
1,H09,2,8_10,DI73,TBSV_DI73,17.24,17.475,-0.235,2.55225,0.170488933,-0.768303806
1,B12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04,14.82725,3.43996E-05,-4.463447003
1,H06,14,8_10,DI73,TBSV_DI73,25.345,17.785,7.56,10.34725,0.000767657,-3.114832623
1,B09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,9.25725,0.001634143,-2.786709927
1,H03,41,8_10,DI73,TBSV_DI73,33.37,15.915,17.455,20.24225,8.06261E-07,-6.09352443
1,E01,7,4_9,TBSV,TBSV_DI73,13.03,17.095,-4.065,-1.27775,2.42460545,0.384641077
1,E04,18,4_9,TBSV,TBSV_DI73,11.815,16.805,-4.99,-2.20275,4.60356016,0.663093823
1,G01,23,4_9,TBSV,TBSV_DI73,11.95,18.83,-6.88,-4.09275,17.06241555,1.232040515
1,G05,26,4_9,TBSV,TBSV_DI73,13.12,14.26,-1.14,1.64725,0.319248114,-0.49587166
1,H08,31,4_9,TBSV,TBSV_DI73,11.77,18.935,-7.165,-4.37775,20.78902222,1.317834064
1,B04,4,8_1,TBSV,TBSV_DI73,12.21,15.875,-3.665,-0.87775,1.837507324,0.264229079
1,B07,8,8_1,TBSV,TBSV_DI73,13.155,18.085,-4.93,-2.14275,4.416030083,0.645032023
1,G07,16,8_1,TBSV,TBSV_DI73,15.14,17.695,-2.555,0.23225,0.851306175,-0.069914216
1,H04,30,8_1,TBSV,TBSV_DI73,12.985,16.59,-3.605,-0.81775,1.762654845,0.246167279
1,G01,30,8_1,TBSV,TBSV_DI73,14.21,17.165,-2.955,-0.16775,1.123305232,0.050497782
1,G07,2,8_10,TBSV,TBSV_DI73,11.28,16.885,-5.605,-2.81775,7.050619378,0.84822727
1,B10,3,8_10,TBSV,TBSV_DI73,15.045,16.015,-0.97,1.81725,0.283761349,-0.54704676
1,G04,14,8_10,TBSV,TBSV_DI73,11.38,15.495,-4.115,-1.32775,2.510108976,0.399692577
1,B07,38,8_10,TBSV,TBSV_DI73,12.775,19.97,-7.195,-4.40775,21.22584377,1.326864963
1,G01,41,8_10,TBSV,TBSV_DI73,12.135,14.855,-2.72,0.06725,0.954455605,-0.020244267
2,A05,,3_23,DI72,Neg Ctrl,31.69666667,12.27666667,19.42,,,
2,A05,,8_1,DI72,Neg Ctrl,35.905,45,-9.095,,,
2,A05,,8_10,DI72,Neg Ctrl,37.02,45,-7.98,,,
2,A05,,4_9,DI73,Neg Ctrl,32.19,11.69333333,20.49666667,,,
2,A06,,8_1,DI73,Neg Ctrl,45,41.865,3.135,,,
2,A06,,8_10,DI73,Neg Ctrl,45,40.215,4.785,,,
2,A04,,3_23,TBSV,Neg Ctrl,38.97,35.265,3.705,,,
2,A04,,4_9,TBSV,Neg Ctrl,37.83666667,27.26666667,10.57,,,
2,A04,,8_1,TBSV,Neg Ctrl,30.9,25.88,5.02,,,
2,A04,,8_10,TBSV,Neg Ctrl,45,33.37,11.63,,,
2,G11,37,8_10,DI72,Neg_plt,28.795,15.045,13.75,,,
2,H12,37,8_10,DI73,Neg_plt,45,13.785,31.215,,,
2,H10,37,8_10,TBSV,Neg_plt,40.325,12.78,27.545,,,
2,A02,,3_23,DI72,Pos Ctrl,25.15666667,20.68666667,4.47,,,
2,A02,,4_9,DI72,Pos Ctrl,26.53,21.79333333,4.736666667,,,
2,A02,,8_1,DI72,Pos Ctrl,10.39,23.275,-12.885,,,
2,B02,,8_10,DI72,Pos Ctrl,10.315,45,-34.685,,,
2,A03,,3_23,DI73,Pos Ctrl,30.01333333,22.51666667,7.496666667,,,
2,A03,,4_9,DI73,Pos Ctrl,30.58666667,20.34666667,10.24,,,
2,A03,,8_1,DI73,Pos Ctrl,12.57,29.71,-17.14,,,
2,A03,,8_10,DI73,Pos Ctrl,11.86,22.505,-10.645,,,
2,A01,,3_23,TBSV,Pos Ctrl,33.76,25.78333333,7.976666667,,,
2,A01,,4_9,TBSV,Pos Ctrl,33.68333333,23.99666667,9.686666667,,,
2,A01,,8_1,TBSV,Pos Ctrl,9.07,22.595,-13.525,,,
2,A01,,8_10,TBSV,Pos Ctrl,10.525,37.62,-27.095,,,
2,B10,2,3_23,DI72,TBSV,18.61,18.51,0.1,2.88725,0.135160922,-0.869148855
2,C10,3,3_23,DI72,TBSV,15.74,17.775,-2.035,0.75225,0.593676948,-0.226449814
2,B07,10,3_23,DI72,TBSV,15.68,16.73,-1.05,1.73725,0.299940865,-0.52296436
2,D07,12,3_23,DI72,TBSV,15.73,17.175,-1.445,1.34225,0.394405069,-0.404057512
2,C12,13,3_23,DI72,TBSV,30.04,18.035,12.005,14.79225,3.52443E-05,-4.452910953
2,C12,8,4_9,DI72,TBSV,15.43,13.115,2.315,5.10225,0.029111843,-1.535930295
2,A10,16,4_9,DI72,TBSV,15.735,14.23,1.505,4.29225,0.051039217,-1.292095999
2,D07,17,4_9,DI72,TBSV,19.8,17.97,1.83,4.61725,0.040744524,-1.389930747
2,B07,25,4_9,DI72,TBSV,23.52,18.115,5.405,8.19225,0.003418905,-2.466112982
2,C10,29,4_9,DI72,TBSV,19,14.32,4.68,7.46725,0.00565111,-2.247866235
2,D02,19,8_1,DI72,TBSV,16.125,14.97,1.155,3.94225,0.065052576,-1.1867355
2,B08,32,8_1,DI72,TBSV,17.775,17.15,0.625,3.41225,0.093931314,-1.027189603
2,C05,36,8_1,DI72,TBSV,15.385,17.165,-1.78,1.00725,0.497493644,-0.303212463
2,A11,46,8_1,DI72,TBSV,25.02,14.685,10.335,13.12225,0.000112153,-3.950190861
2,D08,48,8_1,DI72,TBSV,17.115,16.75,0.365,3.15225,0.112480748,-0.948921804
2,A08,10,8_10,DI72,TBSV,14.365,45,-30.635,-27.84775,241550567.3,8.383008062
2,D08,19,8_10,DI72,TBSV,26.47,21.205,5.265,8.05225,0.003767309,-2.423968783
2,A11,26,8_10,DI72,TBSV,14.58,17.29,-2.71,0.07725,0.947862699,-0.023254567
2,D05,42,8_10,DI72,TBSV,25.625,29.87,-4.245,-1.45775,2.746796442,0.438826476
2,C02,53,8_10,DI72,TBSV,26.83,30.38,-3.55,-0.76275,1.696721758,0.229610629
2,A11,2,3_23,DI73,TBSV,27.275,17.94,9.335,12.12225,0.000224305,-3.649160865
2,C11,3,3_23,DI73,TBSV,25.92,17.56,8.36,11.14725,0.000440903,-3.355656619
2,B08,10,3_23,DI73,TBSV,27.205,16.46,10.745,13.53225,8.44086E-05,-4.073613159
2,C08,12,3_23,DI73,TBSV,24.655,16.355,8.3,11.08725,0.000459627,-3.337594819
2,E12,13,3_23,DI73,TBSV,41.78,17.53,24.25,27.03725,7.26067E-09,-8.13902325
2,E12,8,4_9,DI73,TBSV,32.6,13.895,18.705,21.49225,3.38991E-07,-6.469811924
2,B11,16,4_9,DI73,TBSV,33.18,15.41,17.77,20.55725,6.48114E-07,-6.188348878
2,C08,17,4_9,DI73,TBSV,24.63,18.555,6.075,8.86225,0.002148805,-2.667803079
2,A08,25,4_9,DI73,TBSV,27.89,18.46,9.43,12.21725,0.000210011,-3.677758715
2,D11,29,4_9,DI73,TBSV,29.06,16.14,12.92,15.70725,1.86916E-05,-4.728353399
2,C03,19,8_1,DI73,TBSV,40.05,16.56,23.49,26.27725,1.22959E-08,-7.910240454
2,B09,32,8_1,DI73,TBSV,45,19.055,25.945,28.73225,2.24249E-09,-8.649269093
2,C06,36,8_1,DI73,TBSV,28.76,12.11,16.65,19.43725,1.40866E-06,-5.851195283
2,A12,46,8_1,DI73,TBSV,45,19.215,25.785,28.57225,2.50551E-09,-8.601104294
2,C09,48,8_1,DI73,TBSV,29.075,18.095,10.98,13.76725,7.17207E-05,-4.144355208
2,A09,10,8_10,DI73,TBSV,27.84,18.945,8.895,11.68225,0.000304293,-3.516707667
2,C09,19,8_10,DI73,TBSV,28.715,16.51,12.205,14.99225,3.0682E-05,-4.513116952
2,A12,26,8_10,DI73,TBSV,37.79,10.695,27.095,29.88225,1.01052E-09,-8.995453588
2,C06,42,8_10,DI73,TBSV,29.975,17.175,12.8,15.58725,2.03128E-05,-4.6922298
2,C03,53,8_10,DI73,TBSV,29.5,19.37,10.13,12.91725,0.000129277,-3.888479711
2,B09,2,3_23,TBSV,TBSV,12.455,17.835,-5.38,-2.59275,6.032474868,0.780495521
2,D09,3,3_23,TBSV,TBSV,13.385,20.705,-7.32,-4.53275,23.14694677,1.364493713
2,A06,10,3_23,TBSV,TBSV,14.045,17.97,-3.925,-1.13775,2.20037589,0.342496878
2,D06,12,3_23,TBSV,TBSV,12.49,17.01,-4.52,-1.73275,3.323607459,0.521609725
2,B12,13,3_23,TBSV,TBSV,12.135,18.265,-6.13,-3.34275,10.14537298,1.006268018
