timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwr_negddct,log_2pwr_negddct,,,,,,
1,A05,,3_23,DI72,neg_ctrl,32.74666667,12.08333333,20.66333333,19.44222222,1.40381E-06,-5.852692071,,,,,,
1,A05,,8_1,DI72,neg_ctrl,37.155,45,-7.845,-9.066111111,536.0081442,2.729171388,,,,,,
1,B05,,8_10,DI72,neg_ctrl,35.845,45,-9.155,-10.37611111,1328.986847,3.123520683,,,,,,
1,A05,,4_9,DI73,neg_ctrl,33.97,12.55666667,21.41333333,9.310555556,0.001574866,-2.802756499,,,,,,
1,A06,,8_1,DI73,neg_ctrl,45,45,0,-12.10277778,4398.444759,3.643299142,,,,,,
1,A06,,8_10,DI73,neg_ctrl,45,30.105,14.895,2.792222222,0.144363485,-0.840542643,,,,,,
1,A04,,3_23,TBSV,neg_ctrl,41.63,32.38,9.25,-1.240833333,2.363350053,0.373528053,,,,,,
1,A04,,4_9,TBSV,neg_ctrl,37.81666667,31.26333333,6.553333333,-3.9375,15.32165249,1.185305608,,,,,,
1,A04,,8_1,TBSV,neg_ctrl,45,27.04,17.96,7.469166667,0.005643607,-2.248443209,,,,,,
1,B04,,8_10,TBSV,neg_ctrl,36.51,28.31,8.2,-2.290833333,4.893386826,0.689609548,,,,,,
1,H11,30,8_10,DI72,neg_plt,27.675,13.33,14.345,0,1,0,,,,,,
1,G12,30,8_10,DI73,neg_plt,34.97,11.595,23.375,9.03,0.00191293,-2.718300861,,,,,,
1,G10,30,8_10,TBSV,neg_plt,30.03,11.31,18.72,4.375,0.048194088,-1.317006231,,,,,,
1,A02,,3_23,DI72,pos_ctrl,25.63666667,23.70333333,1.933333333,13.13666667,0.000111037,-3.95453071,,,,,,
1,A02,,4_9,DI72,pos_ctrl,25.35333333,22.51,2.843333333,14.04666667,5.90924E-05,-4.228468006,,,,,,
1,A02,,8_1,DI72,pos_ctrl,12.83,34.33,-21.5,-10.29666667,1257.782425,3.099605522,,,,,,
1,B02,,8_10,DI72,pos_ctrl,13.475,41.565,-28.09,-16.88666667,121169.4659,5.083393193,,,,,,
1,A03,,3_23,DI73,pos_ctrl,28.05666667,22.94666667,5.11,10.00333333,0.000974309,-3.01130339,,,,,,
1,A03,,4_9,DI73,pos_ctrl,30.04333333,22.78666667,7.256666667,12.15,0.000220032,-3.657514447,,,,,,
1,A03,,8_1,DI73,pos_ctrl,12.99,29.45,-16.46,-11.56666667,3033.287787,3.481913617,,,,,,
1,A03,,8_10,DI73,pos_ctrl,11.75,27.23,-15.48,-10.58666667,1537.815453,3.186904221,,,,,,
1,A01,,3_23,TBSV,pos_ctrl,33.72,24.71666667,9.003333333,12.09375,0.00022878,-3.64058151,,,,,,
1,A01,,4_9,TBSV,pos_ctrl,33.69666667,23.66666667,10.03,13.12041667,0.000112295,-3.949638972,,,,,,
1,A01,,8_1,TBSV,pos_ctrl,9.485,26.56,-17.075,-13.98458333,16209.85239,4.20977906,,,,,,
1,A01,,8_10,TBSV,pos_ctrl,9.795,24.115,-14.32,-11.22958333,2401.272361,3.380441422,,,,,,
2,A05,,3_23,DI72,neg_ctrl,31.69666667,12.27666667,19.42,18.19888889,3.32345E-06,-5.478411443,,,,,,
2,A05,,8_1,DI72,neg_ctrl,35.905,45,-9.095,-10.31611111,1274.849398,3.105458883,,,,,,
2,A05,,8_10,DI72,neg_ctrl,37.02,45,-7.98,-9.201111111,588.5866912,2.769810438,,,,,,
2,A05,,4_9,DI73,neg_ctrl,32.19,11.69333333,20.49666667,8.393888889,0.00297295,-2.526812336,,,,,,
2,A06,,8_1,DI73,neg_ctrl,45,41.865,3.135,-8.967777778,500.6913696,2.699570106,,,,,,
2,A06,,8_10,DI73,neg_ctrl,45,40.215,4.785,-7.317777778,159.5403765,2.202870613,,,,,,
2,A04,,3_23,TBSV,neg_ctrl,38.97,35.265,3.705,-6.785833333,110.3416259,2.042739379,,,,,,
2,A04,,4_9,TBSV,neg_ctrl,37.83666667,27.26666667,10.57,0.079166667,0.946604269,-0.023831541,,,,,,
2,A04,,8_1,TBSV,neg_ctrl,30.9,25.88,5.02,-5.470833333,44.34911263,1.646884935,,,,,,
2,A04,,8_10,TBSV,neg_ctrl,45,33.37,11.63,1.139166667,0.454021755,-0.342923337,,,,,,
2,G11,37,8_10,DI72,neg_plt,28.795,15.045,13.75,-0.595,1.510472586,0.179112847,,,,,,
2,H12,37,8_10,DI73,neg_plt,45,13.785,31.215,16.87,8.3488E-06,-5.078376027,,,,,,
2,H10,37,8_10,TBSV,neg_plt,40.325,12.78,27.545,13.2,0.000106268,-3.973595943,,,,,,
2,A02,,3_23,DI72,pos_ctrl,25.15666667,20.68666667,4.47,15.67333333,1.91362E-05,-4.718143465,,,,,,
2,A02,,4_9,DI72,pos_ctrl,26.53,21.79333333,4.736666667,15.94,1.59068E-05,-4.798418131,,,,,,
2,A02,,8_1,DI72,pos_ctrl,10.39,23.275,-12.885,-1.681666667,3.207983378,0.506232109,,,,,,
2,B02,,8_10,DI72,pos_ctrl,10.315,45,-34.685,-23.48166667,11713482.01,7.068686015,,,,,,
2,A03,,3_23,DI73,pos_ctrl,30.01333333,22.51666667,7.496666667,12.39,0.000186311,-3.729761646,,,,,,
2,A03,,4_9,DI73,pos_ctrl,30.58666667,20.34666667,10.24,15.13333333,2.78236E-05,-4.555587268,,,,,,
2,A03,,8_1,DI73,pos_ctrl,12.57,29.71,-17.14,-12.24666667,4859.750953,3.686614014,,,,,,
2,A03,,8_10,DI73,pos_ctrl,11.86,22.505,-10.645,-5.751666667,53.87957877,1.731424192,,,,,,
2,A01,,3_23,TBSV,pos_ctrl,33.76,25.78333333,7.976666667,11.06708333,0.000466097,-3.331524048,,,,,,
2,A01,,4_9,TBSV,pos_ctrl,33.68333333,23.99666667,9.686666667,12.77708333,0.000142467,-3.84628534,,,,,,
2,A01,,8_1,TBSV,pos_ctrl,9.07,22.595,-13.525,-10.43458333,1383.956933,3.141122576,,,,,,
2,A01,,8_10,TBSV,pos_ctrl,10.525,37.62,-27.095,-24.00458333,16830600.7,7.226099617,,,,,,
3,A05,,3_23,DI72,neg_ctrl,31.86333333,13.48666667,18.37666667,17.15555556,6.84957E-06,-5.164336815,,,,,,
3,A05,,8_1,DI72,neg_ctrl,45,45,0,-1.221111111,2.331261935,0.367591072,,,,,,
3,B05,,8_10,DI72,neg_ctrl,35.095,45,-9.905,-11.12611111,2235.080551,3.34929318,,,,,,
3,F08,,4_9,DI73,neg_ctrl,33.98,15.30666667,18.67333333,6.570555556,0.01052121,-1.97793431,,,,,,
3,A06,,8_1,DI73,neg_ctrl,45,30.3,14.7,2.597222222,0.165256369,-0.781841794,,,,,,
3,B06,,8_10,DI73,neg_ctrl,45,34.26,10.74,-1.362777778,2.571798795,0.410236989,,,,,,
3,A04,,3_23,TBSV,neg_ctrl,39.76666667,38.54,1.226666667,-9.264166667,614.8823848,2.788792051,,,,,,
3,F09,,4_9,TBSV,neg_ctrl,40.58666667,39.03,1.556666667,-8.934166667,489.1613703,2.689452153,,,,,,
3,A04,,8_1,TBSV,neg_ctrl,45,25.915,19.085,8.594166667,0.002587605,-2.587101954,,,,,,
3,A04,,8_10,TBSV,neg_ctrl,45,30.58,14.42,3.929166667,0.0656452,-1.182797025,,,,19.44222222,1.40381E-06,-5.852692071
3,H11,4,8_10,DI72,neg_plt,32.575,14.125,18.45,4.105,0.058112809,-1.235728132,,,,-9.066111111,536.0081442,2.729171388
3,E02,4,8_10,DI72,neg_plt,32.945,18.14,14.805,0.46,0.726986259,-0.138473798,,,,-10.37611111,1328.986847,3.123520683
3,H12,4,8_10,DI73,neg_plt,45,14.515,30.485,16.14,1.38476E-05,-4.85862413,,,,9.310555556,0.001574866,-2.802756499
3,E03,4,8_10,DI73,neg_plt,45,17.215,27.785,13.44,8.99823E-05,-4.045843142,,,,-12.10277778,4398.444759,3.643299142
3,G10,4,8_10,TBSV,neg_plt,45,16.265,28.735,14.39,4.65777E-05,-4.331821638,,,,2.792222222,0.144363485,-0.840542643
3,E01,4,8_10,TBSV,neg_plt,37.87,17.9,19.97,5.625,0.020263118,-1.693293726,,,,-1.240833333,2.363350053,0.373528053
3,A02,,3_23,DI72,pos_ctrl,25.50666667,23.30666667,2.2,13.40333333,9.22985E-05,-4.034805375,,,,-3.9375,15.32165249,1.185305608
3,F11,,4_9,DI72,pos_ctrl,25.71,23.24,2.47,13.67333333,7.65449E-05,-4.116083474,,,,7.469166667,0.005643607,-2.248443209
3,A02,,8_1,DI72,pos_ctrl,10.205,30.91,-20.705,-9.501666667,724.9143142,2.860286675,,,,-2.290833333,4.893386826,0.689609548
3,A02,,8_10,DI72,pos_ctrl,9.93,45,-35.07,-23.86666667,15296165.12,7.184582563,,,,0,1,0
3,A03,,3_23,DI73,pos_ctrl,29.61333333,23.08333333,6.53,11.42333333,0.000364111,-3.438765984,,,,9.03,0.00191293,-2.718300861
3,F10,,4_9,DI73,pos_ctrl,33.72333333,23.88333333,9.84,14.73333333,3.67134E-05,-4.435175269,,,,4.375,0.048194088,-1.317006231
3,A03,,8_1,DI73,pos_ctrl,12.565,19.605,-7.04,-2.146666667,4.428035126,0.646211057,,,,13.13666667,0.000111037,-3.95453071
3,A03,,8_10,DI73,pos_ctrl,11.395,23.95,-12.555,-7.661666667,202.4843599,2.306391483,,,,14.04666667,5.90924E-05,-4.228468006
3,A01,,3_23,TBSV,pos_ctrl,33.42666667,24.58666667,8.84,11.93041667,0.000256204,-3.591413277,,,,-10.29666667,1257.782425,3.099605522
3,F12,,4_9,TBSV,pos_ctrl,33.73333333,26.22,7.513333333,10.60375,0.000642618,-3.192046817,,,,-16.88666667,121169.4659,5.083393193
3,A01,,8_1,TBSV,pos_ctrl,9.345,21.92,-12.575,-9.484583333,716.3810343,2.85514408,,,,10.00333333,0.000974309,-3.01130339
3,A01,,8_10,TBSV,pos_ctrl,8.66,33.275,-24.615,-21.52458333,3016791.026,6.479545228,,,,12.15,0.000220032,-3.657514447
,,,,,,,,,,,,,,,-11.56666667,3033.287787,3.481913617
,,,,,,,,,,,,,,,-10.58666667,1537.815453,3.186904221
