timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct
1,A05,na,3_23,DI72,neg_ctrl,28.54,12.055,16.485,,,
1,A04,na,3_23,TBSV,neg_ctrl,41.69,33.62,8.07,,,
1,A02,na,3_23,DI72,pos_ctrl,27.71333333,23.70333333,4.01,,,
1,A03,na,3_23,DI73,pos_ctrl,30.94333333,22.94666667,7.996666667,,,
1,A01,na,3_23,TBSV,pos_ctrl,34.30333333,24.71666667,9.586666667,,,
1,A07,30,3_23,DI72,TBSV,18.15,13.155,4.995,-11.004375,2054.220025,3.312646959
1,A10,22,3_23,DI72,TBSV,23.895,15.085,8.81,-7.189375,145.954512,2.164217525
1,C12,26,3_23,DI72,TBSV,100,16.18,83.82,67.820625,3.84E-21,-20.41604245
1,C10,31,3_23,DI72,TBSV,100,18.01,81.99,65.990625,1.36E-20,-19.86515756
1,C07,15,3_23,DI72,TBSV,100,20.68,79.32,63.320625,8.68E-20,-19.06140747
1,A08,30,3_23,DI73,TBSV,100,11.875,88.125,9.278125,0.001610668,-2.792993929
1,A11,22,3_23,DI73,TBSV,30.96,13.225,17.735,-61.111875,2.49E+18,18.39650747
1,E12,26,3_23,DI73,TBSV,100,14.915,85.085,6.238125,0.013247602,-1.877862742
1,C11,31,3_23,DI73,TBSV,100,17.195,82.805,3.958125,0.06434068,-1.191514352
1,C08,15,3_23,DI73,TBSV,100,17.975,82.025,3.178125,0.110481368,-0.956710955
1,A06,30,3_23,TBSV,TBSV,21.2,12.16,9.04,-33.60875,1.31E+10,10.11724187
1,A09,22,3_23,TBSV,TBSV,13.81,14.395,-0.585,-43.23375,1.03E+13,13.01465558
1,A12,26,3_23,TBSV,TBSV,14.595,16.59,-1.995,-44.64375,2.75E+13,13.43910787
1,C06,15,3_23,TBSV,TBSV,13.77,19.95,-6.18,-48.82875,5.00E+14,14.6989184
1,C09,31,3_23,TBSV,TBSV,13.48,20.815,-7.335,-49.98375,1.11E+15,15.04660805
1,G02,25,3_23,DI72,TBSV_DI72,15.025,13.93,1.095,-14.904375,3.07E+04,4.486663942
1,G09,9,3_23,DI72,TBSV_DI72,23.72,13.955,9.765,-6.234375,75.28940747,1.876733879
1,G06,27,3_23,DI72,TBSV_DI72,100,14.375,85.625,69.625625,1.10E-21,-20.95940159
1,E05,32,3_23,DI72,TBSV_DI72,16.135,19.17,-3.035,-19.034375,5.37E+05,5.729917824
1,E02,28,3_23,DI72,TBSV_DI72,20.505,20.715,-0.21,-16.209375,7.58E+04,4.879508086
1,G10,9,3_23,DI73,TBSV_DI72,40.83,12.325,28.505,-50.341875,1.43E+15,15.15441441
1,G07,27,3_23,DI73,TBSV_DI72,100,13.02,86.98,8.133125,0.00356193,-2.448314583
1,G03,25,3_23,DI73,TBSV_DI72,29.57,13.03,16.54,-62.306875,5.70E+18,18.75623831
1,E03,28,3_23,DI73,TBSV_DI72,28.68,17.82,10.86,-67.986875,2.92E+20,20.46608869
1,G08,9,3_23,TBSV,TBSV_DI72,14.91,14.195,0.715,-41.93375,4.20E+12,12.62331658
1,G05,27,3_23,TBSV,TBSV_DI72,14.385,15.115,-0.73,-43.37875,1.14E+13,13.05830492
1,G01,25,3_23,TBSV,TBSV_DI72,17.005,15.22,1.785,-40.86375,2.00E+12,12.30121449
1,F04,32,3_23,TBSV,TBSV_DI72,26.58,19.66,6.92,-35.72875,5.69E+10,10.75542546
1,E04,32,3_23,TBSV,TBSV_DI72,14.555,20.81,-6.255,-48.90375,5.27E+14,14.72149565
1,E01,28,3_23,TBSV,TBSV_DI72,15.775,22.265,-6.49,-49.13875,6.20E+14,14.7922377
1,A05,na,4_9,DI73,neg_ctrl,30.1005,12.755,17.3455,,,
1,A04,na,4_9,TBSV,neg_ctrl,1.625,0.63,0.995,,,
1,A02,na,4_9,DI72,pos_ctrl,29.005,22.205,6.8,,,
1,A03,na,4_9,DI73,pos_ctrl,12.92,12.92,0,,,
1,A01,na,4_9,TBSV,pos_ctrl,34.19666667,23.66666667,10.53,,,
1,A10,33,4_9,DI72,TBSV,13.335,13.26,0.075,-15.924375,6.22E+04,4.793714537
1,C07,20,4_9,DI72,TBSV,100,16.23,83.77,67.770625,3.97E-21,-20.40099095
1,C10,27,4_9,DI72,TBSV,15.5,16.92,-1.42,-17.419375,1.75E+05,5.243754381
1,A07,12,4_9,DI72,TBSV,31.105,18.095,13.01,-2.989375,7.941298913,0.899891543
1,C12,2,4_9,DI72,TBSV,100,20.27,79.73,63.730625,6.53E-20,-19.18482977
1,A11,33,4_9,DI73,TBSV,29.08,13.195,15.885,-62.961875,8.98E+18,18.95341296
1,C08,20,4_9,DI73,TBSV,100,15.675,84.325,5.478125,0.022434689,-1.649079945
1,C11,27,4_9,DI73,TBSV,26.175,16.325,9.85,-68.996875,5.89E+20,20.77012898
1,A08,12,4_9,DI73,TBSV,100,18.75,81.25,2.403125,0.189054619,-0.723412708
1,E12,2,4_9,DI73,TBSV,100,20.72,79.28,0.433125,0.740655723,-0.130383617
1,A09,33,4_9,TBSV,TBSV,16.48,13.615,2.865,-39.78375,9.46E+11,11.97610209
1,C09,27,4_9,TBSV,TBSV,14.42,16.69,-2.27,-44.91875,3.33E+13,13.52189112
1,C06,20,4_9,TBSV,TBSV,13.1005,17.065,-3.9645,-46.61325,1.08E+14,14.03198645
1,A06,12,4_9,TBSV,TBSV,14.82,19.605,-4.785,-47.43375,1.90E+14,14.27898156
1,A12,2,4_9,TBSV,TBSV,15.715,20.88,-5.165,-47.81375,2.47E+14,14.39337296
1,G06,26,4_9,DI72,TBSV_DI73,14.71,13.375,1.335,-14.664375,2.60E+04,4.414416743
1,E02,7,4_9,DI72,TBSV_DI73,100,17.56,82.44,66.440625,9.99E-21,-20.00062106
1,G09,31,4_9,DI72,TBSV_DI73,100,17.735,82.265,66.265625,1.13E-20,-19.94794081
1,E05,18,4_9,DI72,TBSV_DI73,100,17.75,82.25,66.250625,1.14E-20,-19.94342536
1,G02,23,4_9,DI72,TBSV_DI73,100,19.895,80.105,64.105625,5.04E-20,-19.29771602
1,G07,26,4_9,DI73,TBSV_DI73,26.82,12.82,14,-64.846875,3.32E+19,19.5208545
1,G04,18,4_9,DI73,TBSV_DI73,31.135,16.37,14.765,-64.081875,1.95E+19,19.29056655
1,E03,7,4_9,DI73,TBSV_DI73,100,17.095,82.905,4.058125,0.060031977,-1.221617351
1,G10,31,4_9,DI73,TBSV_DI73,100,17.165,82.835,3.988125,0.063016568,-1.200545251
1,G03,23,4_9,DI73,TBSV_DI73,100,19.195,80.805,1.958125,0.257362721,-0.58945436
1,G05,26,4_9,TBSV,TBSV_DI73,14.735,14.26,0.475,-42.17375,4.96E+12,12.69556378
1,E04,18,4_9,TBSV,TBSV_DI73,13.34,16.805,-3.465,-46.11375,7.61E+13,13.88162196
1,E01,7,4_9,TBSV,TBSV_DI73,14.66,17.095,-2.435,-45.08375,3.73E+13,13.57156107
1,G01,23,4_9,TBSV,TBSV_DI73,13.49,18.83,-5.34,-47.98875,2.79E+14,14.4460532
1,G08,31,4_9,TBSV,TBSV_DI73,13.32,18.935,-5.615,-48.26375,3.38E+14,14.52883645
1,A05,na,8_1,DI72,neg_ctrl,37.155,100,-62.845,,,
1,A06,na,8_1,DI73,neg_ctrl,100,100,0,,,
1,A04,na,8_1,TBSV,neg_ctrl,100,27.04,72.96,,,
1,G11,na,8_1,DI72,neg_plt,31.12,31.12,0,,,
1,G12,na,8_1,DI73,neg_plt,100,15.04,84.96,,,
1,G10,na,8_1,TBSV,neg_plt,32.94,32.94,0,,,
1,A02,na,8_1,DI72,pos_ctrl,12.83,34.33,-21.5,,,
1,A03,na,8_1,DI73,pos_ctrl,12.99,29.1,-16.11,,,
1,A01,na,8_1,TBSV,pos_ctrl,9.485,26.56,-17.075,,,
1,C02,18,8_1,DI72,TBSV,16.1005,13.99,2.1105,-13.888875,1.52E+04,4.180967981
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68,-13.319375,1.02E+04,4.009531398
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795,-14.204375,1.89E+04,4.275942945
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,-17.049375,1.36E+05,5.132373282
1,C05,26,8_1,DI72,TBSV,19.81,19.195,0.615,-15.384375,4.28E+04,4.63115834
1,C03,18,8_1,DI73,TBSV,27.395,15.235,12.16,-66.686875,1.19E+20,20.07474969
1,A09,51,8_1,DI73,TBSV,29.425,16.095,13.33,-65.516875,5.28E+19,19.7225446
1,C09,43,8_1,DI73,TBSV,26.925,17.905,9.02,-69.826875,1.05E+21,21.01998388
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27,-70.576875,1.76E+21,21.24575638
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645,-68.201875,3.39E+20,20.53081014
1,C01,18,8_1,TBSV,TBSV,13.72,14.91,-1.19,-43.83875,1.57E+13,13.19677872
1,A07,51,8_1,TBSV,TBSV,14.11,15.935,-1.825,-44.47375,2.44E+13,13.38793277
1,C07,43,8_1,TBSV,TBSV,12.595,16.81,-4.215,-46.86375,1.28E+14,14.10739446
1,A10,14,8_1,TBSV,TBSV,13.38,17.835,-4.455,-47.10375,1.51E+14,14.17964166
1,C04,26,8_1,TBSV,TBSV,12.425,18.53,-6.105,-48.75375,4.75E+14,14.67634115
1,E08,39,8_1,DI72,TBSV_DI72,14.675,11.815,2.86,-13.139375,9022.89699,3.955345999
1,E02,5,8_1,DI72,TBSV_DI72,16.11,15.67,0.44,-15.559375,4.83E+04,4.683838589
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59,-16.589375,9.86E+04,4.993899484
1,C11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475,-15.524375,4.71E+04,4.673302539
1,E11,10,8_1,DI72,TBSV_DI72,17.515,18.335,-0.82,-16.819375,1.16E+05,5.063136383
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.1005,19.9845,-58.862375,5.24E+17,17.71934049
1,C12,11,8_1,DI73,TBSV_DI72,28.95,16.94,12.01,-66.836875,1.32E+20,20.11990419
1,E06,13,8_1,DI73,TBSV_DI72,33.41,17.215,16.195,-62.651875,7.25E+18,18.86009366
1,E03,5,8_1,DI73,TBSV_DI72,30.195,17.68,12.515,-66.331875,9.29E+19,19.96788404
1,E12,10,8_1,DI73,TBSV_DI72,31.33,18.7,12.63,-66.216875,8.58E+19,19.93326559
1,E07,39,8_1,TBSV,TBSV_DI72,14.39,12.49,1.9,-40.74875,1.85E+12,12.26659604
1,E01,5,8_1,TBSV,TBSV_DI72,15.955,15.585,0.37,-42.27875,5.34E+12,12.72717193
1,C10,11,8_1,TBSV,TBSV_DI72,14.925,16.215,-1.29,-43.93875,1.69E+13,13.22688172
1,E10,10,8_1,TBSV,TBSV_DI72,15.855,17.24,-1.385,-44.03375,1.80E+13,13.25547957
1,E04,13,8_1,TBSV,TBSV_DI72,17.915,17.605,0.31,-42.33875,5.56E+12,12.74523373
1,A02,35,8_1,DI72,TBSV_DI73,9.97,11.01,-1.04,-17.039375,1.35E+05,5.129362982
1,A05,4,8_1,DI72,TBSV_DI73,16.14,16.335,-0.195,-16.194375,7.50E+04,4.874992636
1,A08,8,8_1,DI72,TBSV_DI73,15.50333333,17.17666667,-1.673333333,-17.67270833,2.09E+05,5.320015313
1,G08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045,-17.044375,1.35E+05,5.130868132
1,G02,30,8_1,DI72,TBSV_DI73,16.33,23.16333333,-6.833333333,-22.83270833,7.47E+06,6.873330091
1,A03,35,8_1,DI73,TBSV_DI73,24.11,8.26,15.85,-62.996875,9.20E+18,18.96394901
1,A06,4,8_1,DI73,TBSV_DI73,27.135,17.99,9.145,-69.701875,9.60E+20,20.98235513
1,G03,30,8_1,DI73,TBSV_DI73,24.57666667,19.05666667,5.52,-73.326875,1.18E+22,22.07358886
1,G09,16,8_1,DI73,TBSV_DI73,30.11,20.04,10.07,-68.776875,5.06E+20,20.70390238
1,A09,8,8_1,DI73,TBSV_DI73,25.59333333,36.46,-10.86666667,-89.71354167,1.02E+27,27.00646706
1,A01,35,8_1,TBSV,TBSV_DI73,17.38,11.705,5.675,-36.97375,1.35E+11,11.1302078
1,A04,4,8_1,TBSV,TBSV_DI73,12.67,15.875,-3.205,-45.85375,6.36E+13,13.80335416
1,G01,30,8_1,TBSV,TBSV_DI73,13.80333333,17.15,-3.346666667,-45.99541667,7.01E+13,13.84600008
1,A07,8,8_1,TBSV,TBSV_DI73,13.42333333,17.41,-3.986666667,-46.63541667,1.09E+14,14.03865928
1,G07,16,8_1,TBSV,TBSV_DI73,15.14,17.695,-2.555,-45.20375,4.05E+13,13.60768467
1,A05,na,8_10,DI72,neg_ctrl,37.67,100,-62.33,,,
1,A06,na,8_10,DI73,neg_ctrl,100,30.105,69.895,,,
1,G11,30,8_10,DI72,neg_plt,28.82,13.33,15.49,,,
1,G12,30,8_10,DI73,neg_plt,39.82,11.595,28.225,,,
1,G10,30,8_10,TBSV,neg_plt,31.585,11.31,20.275,,,
1,A02,na,8_10,DI72,pos_ctrl,14.705,41.565,-26.86,,,
1,A03,na,8_10,DI73,pos_ctrl,12.79,27.23,-14.44,,,
1,A01,na,8_10,TBSV,pos_ctrl,10.99,24.115,-13.125,,,
1,C05,50,8_10,DI72,TBSV,13.605,12.41,1.195,-14.804375,2.86E+04,4.456560942
1,A11,51,8_10,DI72,TBSV,100,13.88,86.12,70.120625,7.79E-22,-21.10841144
1,A08,5,8_10,DI72,TBSV,100,15.605,84.395,68.395625,2.58E-21,-20.5891347
1,C08,22,8_10,DI72,TBSV,17.21,16.665,0.545,-15.454375,4.49E+04,4.652230439
1,C02,43,8_10,DI72,TBSV,32.475,18.09,14.385,-1.614375,3.061789288,0.485975299
1,C06,50,8_10,DI73,TBSV,29.365,11.065,18.3,-60.546875,1.68E+18,18.22642552
1,A12,51,8_10,DI73,TBSV,100,11.595,88.405,9.558125,0.001326532,-2.877282327
1,A09,5,8_10,DI73,TBSV,100,12.965,87.035,8.188125,0.003428694,-2.464871233
1,C03,43,8_10,DI73,TBSV,100,16.215,83.785,4.938125,0.032619421,-1.486523747
1,C09,22,8_10,DI73,TBSV,37.01,25.565,11.445,-67.401875,1.95E+20,20.28998614
1,C04,50,8_10,TBSV,TBSV,15.94,10.475,5.465,-37.18375,1.56E+11,11.1934241
1,A10,51,8_10,TBSV,TBSV,12.725,11.805,0.92,-41.72875,3.64E+12,12.56160543
1,A07,5,8_10,TBSV,TBSV,13.11,12.33,0.78,-41.86875,4.02E+12,12.60374963
1,C01,43,8_10,TBSV,TBSV,12.555,14.8,-2.245,-44.89375,3.27E+13,13.51436537
1,C07,22,8_10,TBSV,TBSV,15.36,15.735,-0.375,-43.02375,8.94E+12,12.95143928
1,E11,27,8_10,DI72,TBSV_DI72,17.64,12.835,4.805,-11.194375,2343.379669,3.369842658
1,C11,12,8_10,DI72,TBSV_DI72,17.1005,15.125,1.9755,-14.023875,1.67E+04,4.22160703
1,E02,47,8_10,DI72,TBSV_DI72,17.9,16.35,1.55,-14.449375,2.24E+04,4.349695294
1,E08,17,8_10,DI72,TBSV_DI72,17.565,18,-0.435,-16.434375,8.86E+04,4.947239835
1,E05,54,8_10,DI72,TBSV_DI72,100,19.11,80.89,64.890625,2.92E-20,-19.53402456
1,E12,27,8_10,DI73,TBSV_DI72,100,10.9,89.1,10.253125,0.000819411,-3.086498174
1,C12,12,8_10,DI73,TBSV_DI72,28.115,14.01,14.105,-64.741875,3.08E+19,19.48924635
1,E03,47,8_10,DI73,TBSV_DI72,31.035,14.92,16.115,-62.731875,7.66E+18,18.88417606
1,E06,54,8_10,DI73,TBSV_DI72,100,16.32,83.68,4.833125,0.035082005,-1.454915598
1,E09,17,8_10,DI73,TBSV_DI72,27.425,16.365,11.06,-67.786875,2.55E+20,20.40588269
1,E10,27,8_10,TBSV,TBSV_DI72,21.61,10.54,11.07,-31.57875,3.21E+09,9.506150976
1,C10,12,8_10,TBSV,TBSV_DI72,13.4,13.985,-0.585,-43.23375,1.03E+13,13.01465558
1,E01,47,8_10,TBSV,TBSV_DI72,17.075,14.365,2.71,-39.93875,1.05E+12,12.02276174
1,E07,17,8_10,TBSV,TBSV_DI72,13.11,15.105,-1.995,-44.64375,2.75E+13,13.43910787
1,E04,54,8_10,TBSV,TBSV_DI72,13.095,15.53,-2.435,-45.08375,3.73E+13,13.57156107
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,-14.259375,1.96E+04,4.292499594
1,G02,41,8_10,DI72,TBSV_DI73,100,18.28,81.72,65.720625,1.64E-20,-19.78387946
1,G05,14,8_10,DI72,TBSV_DI73,22.875,18.575,4.3,-11.699375,3325.544821,3.521862806
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,-17.804375,2.29E+05,5.359650929
1,G08,2,8_10,DI72,TBSV_DI73,100,22.97,77.03,61.030625,4.25E-19,-18.37204878
1,A12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04,-66.806875,1.29E+20,20.11087329
1,G03,41,8_10,DI73,TBSV_DI73,100,15.915,84.085,5.238125,0.026495203,-1.576832746
1,G09,2,8_10,DI73,TBSV_DI73,18.265,17.475,0.79,-78.056875,3.14E+23,23.49746074
1,G06,14,8_10,DI73,TBSV_DI73,26.575,17.785,8.79,-70.056875,1.23E+21,21.08922078
1,A09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,-72.376875,6.13E+21,21.78761037
1,G01,41,8_10,TBSV,TBSV_DI73,13.27,14.855,-1.585,-44.23375,2.07E+13,13.31568557
1,G04,14,8_10,TBSV,TBSV_DI73,12.435,15.495,-3.06,-45.70875,5.75E+13,13.75970481
1,A10,3,8_10,TBSV,TBSV_DI73,15.01,16.015,-1.005,-43.65375,1.38E+13,13.14108817
1,G07,2,8_10,TBSV,TBSV_DI73,12.365,16.885,-4.52,-47.16875,1.58E+14,14.19920861
1,A07,38,8_10,TBSV,TBSV_DI73,12.775,19.97,-7.195,-49.84375,1.01E+15,15.00446385
2,A05,na,3_23,DI72,neg_ctrl,32.92,12.27666667,20.64333333,,,
2,A04,na,3_23,TBSV,neg_ctrl,41.49,38.51,2.98,,,
2,A02,na,3_23,DI72,pos_ctrl,27.39666667,20.68666667,6.71,,,
2,A03,na,3_23,DI73,pos_ctrl,31.55333333,22.51666667,9.036666667,,,
2,A01,na,3_23,TBSV,pos_ctrl,34.30666667,25.78333333,8.523333333,,,
2,A07,10,3_23,DI72,TBSV,17.43,16.73,0.7,-15.299375,4.03E+04,4.60557079
2,C07,12,3_23,DI72,TBSV,29.955,17.565,12.39,-3.609375,12.20478521,1.086530141
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,-0.6745,-16.673875,1.05E+05,5.019336519
2,A10,2,3_23,DI72,TBSV,20.52,18.51,2.01,-13.989375,1.63E+04,4.211221496
2,A08,10,3_23,DI73,TBSV,100,16.46,83.54,4.693125,0.03865704,-1.412771398
2,C08,12,3_23,DI73,TBSV,36.78,17.195,19.585,-59.261875,6.91E+17,17.83960197
2,C11,3,3_23,DI73,TBSV,32.125,17.56,14.565,-64.281875,2.24E+19,19.35077255
2,A11,2,3_23,DI73,TBSV,100,17.94,82.06,3.213125,0.107833325,-0.967247005
2,C06,12,3_23,TBSV,TBSV,13.9425,17.6375,-3.695,-46.34375,8.93E+13,13.95085886
2,A09,2,3_23,TBSV,TBSV,14.2,17.835,-3.635,-46.28375,8.57E+13,13.93279706
2,A06,10,3_23,TBSV,TBSV,15.74,17.97,-2.23,-44.87875,3.23E+13,13.50984992
2,C09,3,3_23,TBSV,TBSV,15.035,20.705,-5.67,-48.31875,3.51E+14,14.5453931
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,3.815,-17.419375,1.75E+05,5.243754381
2,E05,24,3_23,DI72,TBSV_DI72,14.77,16.19,-1.42,-15.994375,6.53E+04,4.814786637
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.005,-16.604375,9.96E+04,4.998414934
2,E02,11,3_23,DI72,TBSV_DI72,16.27,16.875,-0.605,-13.749375,1.38E+04,4.138974297
2,G06,21,3_23,DI72,TBSV_DI72,19.72,17.47,2.25,68.495625,2.40E-21,-20.6192377
