timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,method
1,A06,30,6,DI72,TBSV,30.95,51.25,-20.3,2.8,leaf_soup
1,A08,13,6,DI72,TBSV,30.415,2.295,28.12,-1.781438074,leaf_soup
1,A10,11,6,DI72,TBSV,18.425,51.16,-32.735,4.937405732,leaf_soup
1,A12,33,6,DI72,TBSV,17.545,1.135,16.41,-0.8205,leaf_soup
1,C04,17,6,DI72,TBSV_DI72,16.57,20.905,-4.335,0.220835456,leaf_soup
1,C06,6,6,DI72,TBSV_DI72,10.915,12.935,-2.02,4.697674419,leaf_soup
1,C08,5,6,DI72,TBSV_DI72,15.77,1.54,14.23,-1.160211985,leaf_soup
1,C12,25,6,DI72,TBSV_DI72,16.41,18.845,-2.435,0.56300578,leaf_soup
2,E02,9,6,DI72,TBSV,17.45,37.075,-19.625,7.461977186,leaf_soup
2,E04,24,6,DI72,TBSV,11.59,16.675,-5.085,4.686635945,leaf_soup
2,E06,18,6,DI72,TBSV,18.8,51.2,-32.4,2.148541114,leaf_soup
2,E08,21,6,DI72,TBSV,29.035,2.465,26.57,-6.441212121,leaf_soup
2,E10,23,6,DI72,TBSV,20.66,51.26,-30.6,2.103092784,leaf_soup
2,E12,8,6,DI72,neg_plt,26.975,15.925,11.05,0.664861613,leaf_soup
2,G02,15,6,DI72,TBSV_DI72,16.125,15.81,0.315,0.100961538,leaf_soup
2,G04,12,6,DI72,TBSV_DI72,15.225,33.52,-18.295,-43.04705882,leaf_soup
2,G06,35,6,DI72,TBSV_DI72,24.425,8.41,16.015,-1.423555556,leaf_soup
2,G08,31,6,DI72,TBSV_DI72,56.85,19.13,37.72,1.074950128,leaf_soup
2,G10,29,6,DI72,TBSV_DI72,17.195,27.84,-10.645,2.116302187,leaf_soup
2,G12,44,6,DI72,neg_plt,24.12,16.515,7.605,0.599054746,leaf_soup
3,A06,32,6,DI72,neg_plt,23.8,13.46,10.34,0.837246964,leaf_soup
3,A10,1,6,DI72,TBSV,22.035,20.18,1.855,-1.134556575,leaf_soup
3,A12,36,6,DI72,TBSV,15.32,20.495,-5.175,4.123505976,leaf_soup
3,C02,7,6,DI72,TBSV,25.38,3.855,21.525,-1.305732484,leaf_soup
3,C04,28,6,DI72,TBSV_DI72,23.805,2.17,21.635,-1.612746925,leaf_soup
3,C06,3,6,DI72,TBSV_DI72,19.685,16.19,3.495,-0.273046875,leaf_soup
3,C10,19,6,DI72,TBSV_DI72,20.165,19.275,0.89,-0.06148532,leaf_soup
3,C12,2,6,DI72,TBSV_DI72,17.52,33.87,-16.35,2.713692946,leaf_soup
3,E02,26,6,DI72,TBSV_DI72,16.675,28.555,-11.88,2.179816514,leaf_soup
2,G09,3,4_9,DI72,TBSV_DI73,20.225,14.15,6.075,-607.5,agro
3,E05,24,4_9,DI73,TBSV,100,20.62,79.38,-176.4,agro
3,C01,19,4_9,DI73,TBSV,100,18.1,81.9,-140,agro
1,G07,27,3_23,DI73,TBSV_DI72,100,13.02,86.98,-119.1506849,agro
1,G06,27,3_23,DI72,TBSV_DI72,100,14.375,85.625,-117.2945205,agro
3,E02,5,4_9,DI73,TBSV,100,20.925,79.075,-79.87373737,agro
1,G02,41,8_10,DI72,TBSV_DI73,100,18.28,81.72,-51.55835962,agro
3,A10,5,3_23,DI72,TBSV,100,14.94,85.06,-50.48071217,agro
3,A11,5,3_23,DI73,TBSV,100,15.075,84.925,-50.40059347,agro
1,E12,26,3_23,DI73,TBSV,100,14.915,85.085,-42.64912281,agro
1,C12,26,3_23,DI72,TBSV,100,16.18,83.82,-42.01503759,agro
2,A08,10,3_23,DI73,TBSV,100,16.46,83.54,-37.46188341,agro
1,C03,43,8_10,DI73,TBSV,100,16.215,83.785,-37.32071269,agro
2,G03,23,3_23,DI73,TBSV_DI72,100,15.505,84.495,-36.03198294,agro
1,E02,7,4_9,DI72,TBSV_DI73,100,17.56,82.44,-33.85626283,agro
1,E05,54,8_10,DI72,TBSV_DI72,100,19.11,80.89,-33.21971253,agro
3,G06,29,8_1,DI73,TBSV_DI73,100,29.18,70.82,-31.33628319,agro
1,C09,22,8_10,DI73,TBSV,37.01,25.565,11.445,-30.52,agro
1,A11,22,3_23,DI73,TBSV,30.96,13.225,17.735,-30.31623932,agro
3,E06,24,4_9,DI72,TBSV,30.81,17.375,13.435,-29.85555556,agro
3,C11,15,4_9,DI72,TBSV_DI73,28.53,16.03,12.5,-29.76190476,agro
1,E05,18,4_9,DI72,TBSV_DI73,100,17.75,82.25,-23.73737374,agro
1,C07,20,4_9,DI72,TBSV,100,16.23,83.77,-21.13002901,agro
3,A09,24,8_10,DI73,TBSV,38.8,17.41,21.39,-19.44545455,agro
3,C11,19,3_23,DI73,TBSV,100,18.82,81.18,-19.28266033,agro
1,G08,2,8_10,DI72,TBSV_DI73,100,22.97,77.03,-17.0420354,agro
2,C09,19,8_10,DI73,TBSV,100,16.51,83.49,-16.698,agro
1,C12,2,4_9,DI72,TBSV,100,20.27,79.73,-15.43659245,agro
1,A10,22,3_23,DI72,TBSV,23.895,15.085,8.81,-15.05982906,agro
1,G02,23,4_9,DI72,TBSV_DI73,100,19.895,80.105,-15.00093633,agro
1,G09,31,4_9,DI72,TBSV_DI73,100,17.735,82.265,-14.650935,agro
3,E05,42,8_1,DI72,TBSV_DI72,15.985,15.21,0.775,-14.09090909,agro
3,E03,5,4_9,DI72,TBSV,31.93,18.66,13.27,-13.4040404,agro
1,C07,15,3_23,DI72,TBSV,100,20.68,79.32,-12.83495146,agro
3,A07,16,3_23,DI72,TBSV,30.605,15.97,14.635,-12.50854701,agro
2,A05,na,8_1,DI72,neg_ctrl,36.13,100,-63.87,-12.29451396,agro
1,C10,31,3_23,DI72,TBSV,100,18.01,81.99,-11.17791411,agro
3,A04,32,4_9,DI72,TBSV_DI73,20.585,17.06,3.525,-11.015625,agro
2,E02,22,4_9,DI72,TBSV_DI73,30.995,15.57,15.425,-10.18151815,agro
3,G02,50,8_1,DI72,TBSV_DI73,17.27,16.995,0.275,-9.166666667,agro
1,E05,32,3_23,DI72,TBSV_DI72,16.135,19.17,-3.035,-9.127819549,agro
3,E01,19,4_9,DI72,TBSV,21.55,16.32,5.23,-8.94017094,agro
3,C11,3,8_1,DI72,TBSV_DI72,16.935,9.93,7.005,-8.439759036,agro
2,C10,29,4_9,DI72,TBSV,21.315,14.32,6.995,-8.427710843,agro
1,A09,51,8_1,DI73,TBSV,29.425,16.095,13.33,-7.304109589,agro
1,C02,43,8_10,DI72,TBSV,32.475,18.09,14.385,-6.407572383,agro
3,E05,49,8_1,DI72,TBSV_DI73,26.37,12.62,13.75,-6.223127404,agro
3,G08,7,8_10,DI72,TBSV_DI73,28.99,1.81,27.18,-5.960526316,agro
1,G09,2,8_10,DI73,TBSV_DI73,18.265,17.475,0.79,-5.721518987,agro
3,A08,12,8_1,DI72,TBSV,30.94,17.41,13.53,-5.68487395,agro
2,A09,10,8_10,DI73,TBSV,34.115,18.91,15.205,-5.243103448,agro
3,A08,24,8_10,DI72,TBSV,17.025,11.34,5.685,-5.168181818,agro
2,C05,48,8_10,DI72,TBSV_DI73,27.155,15.98,11.175,-4.478957916,agro
2,G02,14,4_9,DI72,TBSV_DI73,29.59,17.01,12.58,-3.823708207,agro
2,A07,25,4_9,DI72,TBSV,26.75,18.115,8.635,-3.628151261,agro
2,A11,46,8_1,DI72,TBSV,25.21,14.685,10.525,-3.623063683,agro
1,C11,12,8_10,DI72,TBSV_DI72,17.1005,15.125,1.9755,-3.376923077,agro
