timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct
1,A05,na,3_23,DI72,neg_ctrl,28.54,12.055,16.485,,,
1,A04,na,3_23,TBSV,neg_ctrl,41.69,33.62,8.07,,,
1,A02,na,3_23,DI72,pos_ctrl,27.71333333,23.70333333,4.01,,,
1,A03,na,3_23,DI73,pos_ctrl,30.94333333,22.94666667,7.996666667,,,
1,A01,na,3_23,TBSV,pos_ctrl,34.30333333,24.71666667,9.586666667,,,
1,A07,30,3_23,DI72,TBSV,18.15,13.155,4.995,6.406,0.01179239,-1.928398152
1,A10,22,3_23,DI72,TBSV,23.895,15.085,8.81,10.221,0.000837862,-3.076827586
1,C12,26,3_23,DI72,TBSV,100,16.18,83.82,85.231,2.20E-26,-25.65708756
1,C10,31,3_23,DI72,TBSV,100,18.01,81.99,83.401,7.83E-26,-25.10620267
1,C07,15,3_23,DI72,TBSV,100,20.68,79.32,80.731,4.98E-25,-24.30245258
1,A08,30,3_23,DI73,TBSV,100,11.875,88.125,89.536,1.11E-27,-26.95302169
1,A11,22,3_23,DI73,TBSV,30.96,13.225,17.735,19.146,1.72E-06,-5.763520297
1,E12,26,3_23,DI73,TBSV,100,14.915,85.085,86.496,9.16E-27,-26.0378905
1,C11,31,3_23,DI73,TBSV,100,17.195,82.805,84.216,4.45E-26,-25.35154211
1,C08,15,3_23,DI73,TBSV,100,17.975,82.025,83.436,7.64E-26,-25.11673872
1,A06,30,3_23,TBSV,TBSV,21.2,12.16,9.04,10.451,0.00071439,-3.146064485
1,A09,22,3_23,TBSV,TBSV,13.81,14.395,-0.585,0.826,0.564091069,-0.248650776
1,A12,26,3_23,TBSV,TBSV,14.595,16.59,-1.995,-0.584,1.498999602,0.175801517
1,C06,15,3_23,TBSV,TBSV,13.77,19.95,-6.18,-4.769,27.26541104,1.435612049
1,C09,31,3_23,TBSV,TBSV,13.48,20.815,-7.335,-5.924,60.71579617,1.783301694
1,G02,25,3_23,DI72,TBSV_DI72,15.025,13.93,1.095,2.506,0.176043028,-0.754381169
1,G09,9,3_23,DI72,TBSV_DI72,23.72,13.955,9.765,11.176,0.000432204,-3.364311232
1,G06,27,3_23,DI72,TBSV_DI72,100,14.375,85.625,87.036,6.30E-27,-26.2004467
1,E05,32,3_23,DI72,TBSV_DI72,16.135,19.17,-3.035,-1.624,3.082284433,0.488872713
1,E02,28,3_23,DI72,TBSV_DI72,20.505,20.715,-0.21,1.201,0.434973676,-0.361537025
1,G10,9,3_23,DI73,TBSV_DI72,40.83,12.325,28.505,29.916,9.87E-10,-9.00561335
1,G07,27,3_23,DI73,TBSV_DI72,100,13.02,86.98,88.391,2.46E-27,-26.60834235
1,G03,25,3_23,DI73,TBSV_DI72,29.57,13.03,16.54,17.951,3.95E-06,-5.403789452
1,E03,28,3_23,DI73,TBSV_DI72,28.68,17.82,10.86,12.271,0.00020233,-3.693939077
1,G08,9,3_23,TBSV,TBSV_DI72,14.91,14.195,0.715,2.126,0.229092161,-0.639989771
1,G05,27,3_23,TBSV,TBSV_DI72,14.385,15.115,-0.73,0.681,0.623732786,-0.205001427
1,G01,25,3_23,TBSV,TBSV_DI72,17.005,15.22,1.785,3.196,0.109120949,-0.962091866
1,F04,32,3_23,TBSV,TBSV_DI72,26.58,19.66,6.92,8.331,0.003105411,-2.507880894
1,E04,32,3_23,TBSV,TBSV_DI72,14.555,20.81,-6.255,-4.844,28.72032162,1.458189299
1,E01,28,3_23,TBSV,TBSV_DI72,15.775,22.265,-6.49,-5.079,33.80114001,1.528931348
1,A05,na,4_9,DI73,neg_ctrl,30.1005,12.755,17.3455,,,
1,A04,na,4_9,TBSV,neg_ctrl,1.625,0.63,0.995,,,
1,A02,na,4_9,DI72,pos_ctrl,29.005,22.205,6.8,,,
1,A03,na,4_9,DI73,pos_ctrl,12.92,12.92,0,,,
1,A01,na,4_9,TBSV,pos_ctrl,34.19666667,23.66666667,10.53,,,
1,A10,33,4_9,DI72,TBSV,13.335,13.26,0.075,1.486,0.357000995,-0.447330574
1,C07,20,4_9,DI72,TBSV,100,16.23,83.77,85.181,2.28E-26,-25.64203606
1,C10,27,4_9,DI72,TBSV,15.5,16.92,-1.42,-0.009,1.006257823,0.00270927
1,A07,12,4_9,DI72,TBSV,31.105,18.095,13.01,14.421,4.56E-05,-4.341153567
1,C12,2,4_9,DI72,TBSV,100,20.27,79.73,81.141,3.75E-25,-24.42587488
1,A11,33,4_9,DI73,TBSV,29.08,13.195,15.885,17.296,6.21E-06,-5.206614805
1,C08,20,4_9,DI73,TBSV,100,15.675,84.325,85.736,1.55E-26,-25.80910771
1,C11,27,4_9,DI73,TBSV,26.175,16.325,9.85,11.261,0.000407475,-3.389898781
1,A08,12,4_9,DI73,TBSV,100,18.75,81.25,82.661,1.31E-25,-24.88344047
1,E12,2,4_9,DI73,TBSV,100,20.72,79.28,80.691,5.12E-25,-24.29041138
1,A09,33,4_9,TBSV,TBSV,16.48,13.615,2.865,4.276,0.051617354,-1.287204261
1,C09,27,4_9,TBSV,TBSV,14.42,16.69,-2.27,-0.859,1.813780658,0.258584766
1,C06,20,4_9,TBSV,TBSV,13.1005,17.065,-3.9645,-2.5535,5.870567608,0.768680094
1,A06,12,4_9,TBSV,TBSV,14.82,19.605,-4.785,-3.374,10.36752772,1.015675205
1,A12,2,4_9,TBSV,TBSV,15.715,20.88,-5.165,-3.754,13.49169776,1.130066604
1,G06,26,4_9,DI72,TBSV_DI73,14.71,13.375,1.335,2.746,0.149063609,-0.826628368
1,E02,7,4_9,DI72,TBSV_DI73,100,17.56,82.44,83.851,5.73E-26,-25.24166617
1,G09,31,4_9,DI72,TBSV_DI73,100,17.735,82.265,83.676,6.47E-26,-25.18898592
1,E05,18,4_9,DI72,TBSV_DI73,100,17.75,82.25,83.661,6.54E-26,-25.18447047
1,G02,23,4_9,DI72,TBSV_DI73,100,19.895,80.105,81.516,2.89E-25,-24.53876113
1,G07,26,4_9,DI73,TBSV_DI73,26.82,12.82,14,15.411,2.30E-05,-4.639173263
1,G04,18,4_9,DI73,TBSV_DI73,31.135,16.37,14.765,16.176,1.35E-05,-4.86946121
1,E03,7,4_9,DI73,TBSV_DI73,100,17.095,82.905,84.316,4.15E-26,-25.38164511
1,G10,31,4_9,DI73,TBSV_DI73,100,17.165,82.835,84.246,4.36E-26,-25.36057301
1,G03,23,4_9,DI73,TBSV_DI73,100,19.195,80.805,82.216,1.78E-25,-24.74948212
1,G05,26,4_9,TBSV,TBSV_DI73,14.735,14.26,0.475,1.886,0.270556161,-0.567742572
1,E04,18,4_9,TBSV,TBSV_DI73,13.34,16.805,-3.465,-2.054,4.152557082,0.618315611
1,E01,7,4_9,TBSV,TBSV_DI73,14.66,17.095,-2.435,-1.024,2.033549347,0.308254716
1,G01,23,4_9,TBSV,TBSV_DI73,13.49,18.83,-5.34,-3.929,15.23164654,1.182746853
1,G08,31,4_9,TBSV,TBSV_DI73,13.32,18.935,-5.615,-4.204,18.43020228,1.265530102
1,A05,na,8_1,DI72,neg_ctrl,37.155,100,-62.845,,,
1,A06,na,8_1,DI73,neg_ctrl,100,100,0,,,
1,A04,na,8_1,TBSV,neg_ctrl,100,27.04,72.96,,,
1,G11,na,8_1,DI72,neg_plt,31.12,31.12,0,,,
1,G12,na,8_1,DI73,neg_plt,100,15.04,84.96,,,
1,G10,na,8_1,TBSV,neg_plt,32.94,32.94,0,,,
1,A02,na,8_1,DI72,pos_ctrl,12.83,34.33,-21.5,,,
1,A03,na,8_1,DI73,pos_ctrl,12.99,29.1,-16.11,,,
1,A01,na,8_1,TBSV,pos_ctrl,9.485,26.56,-17.075,,,
1,C02,18,8_1,DI72,TBSV,16.1005,13.99,2.1105,3.5215,0.087080892,-1.06007713
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68,4.091,0.058679484,-1.231513712
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795,3.206,0.108367195,-0.965102166
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,0.361,0.778624691,-0.108671828
1,C05,26,8_1,DI72,TBSV,19.81,19.195,0.615,2.026,0.245534899,-0.609886771
1,C03,18,8_1,DI73,TBSV,27.395,15.235,12.16,13.571,8.22E-05,-4.085278071
1,A09,51,8_1,DI73,TBSV,29.425,16.095,13.33,14.741,3.65E-05,-4.437483166
1,C09,43,8_1,DI73,TBSV,26.925,17.905,9.02,10.431,0.000724363,-3.140043885
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27,9.681,0.001218228,-2.914271388
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645,12.056,0.000234846,-3.629217628
1,C01,18,8_1,TBSV,TBSV,13.72,14.91,-1.19,0.221,0.85797053,-0.066527629
1,A07,51,8_1,TBSV,TBSV,14.11,15.935,-1.825,-0.414,1.332374825,0.124626418
1,C07,43,8_1,TBSV,TBSV,12.595,16.81,-4.215,-2.804,6.983740729,0.844088108
1,A10,14,8_1,TBSV,TBSV,13.38,17.835,-4.455,-3.044,8.24774655,0.916335307
1,C04,26,8_1,TBSV,TBSV,12.425,18.53,-6.105,-4.694,25.88420315,1.4130348
1,E08,39,8_1,DI72,TBSV_DI72,14.675,11.815,2.86,4.271,0.051796557,-1.285699111
1,E02,5,8_1,DI72,TBSV_DI72,16.11,15.67,0.44,1.851,0.277200161,-0.557206522
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59,0.821,0.566049451,-0.247145626
1,C11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475,1.886,0.270556161,-0.567742572
1,E11,10,8_1,DI72,TBSV_DI72,17.515,18.335,-0.82,0.591,0.663882579,-0.177908727
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.1005,19.9845,21.3955,3.63E-07,-6.440687272
1,C12,11,8_1,DI73,TBSV_DI72,28.95,16.94,12.01,13.421,9.12E-05,-4.040123572
1,E06,13,8_1,DI73,TBSV_DI72,33.41,17.215,16.195,17.606,5.01E-06,-5.299934104
1,E03,5,8_1,DI73,TBSV_DI72,30.195,17.68,12.515,13.926,6.42E-05,-4.19214372
1,E12,10,8_1,DI73,TBSV_DI72,31.33,18.7,12.63,14.041,5.93E-05,-4.226762169
1,E07,39,8_1,TBSV,TBSV_DI72,14.39,12.49,1.9,3.311,0.100760354,-0.996710316
1,E01,5,8_1,TBSV,TBSV_DI72,15.955,15.585,0.37,1.781,0.290981634,-0.536134422
1,C10,11,8_1,TBSV,TBSV_DI72,14.925,16.215,-1.29,0.121,0.919550046,-0.036424629
1,E10,10,8_1,TBSV,TBSV_DI72,15.855,17.24,-1.385,0.026,0.982139595,-0.00782678
1,E04,13,8_1,TBSV,TBSV_DI72,17.915,17.605,0.31,1.721,0.30333839,-0.518072623
1,A02,35,8_1,DI72,TBSV_DI73,9.97,11.01,-1.04,0.371,0.773246337,-0.111682128
1,A05,4,8_1,DI72,TBSV_DI73,16.14,16.335,-0.195,1.216,0.430474594,-0.366052475
1,A08,8,8_1,DI72,TBSV_DI73,15.50333333,17.17666667,-1.673333333,-0.262333333,1.199417006,0.078970202
1,G08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045,0.366,0.775930854,-0.110176978
1,G02,30,8_1,DI72,TBSV_DI73,16.33,23.16333333,-6.833333333,-5.422333333,42.88298221,1.63228498
1,A03,35,8_1,DI73,TBSV_DI73,24.11,8.26,15.85,17.261,6.37E-06,-5.196078755
1,A06,4,8_1,DI73,TBSV_DI73,27.135,17.99,9.145,10.556,0.000664244,-3.177672634
1,G03,30,8_1,DI73,TBSV_DI73,24.57666667,19.05666667,5.52,6.931,0.008195229,-2.0864389
1,G09,16,8_1,DI73,TBSV_DI73,30.11,20.04,10.07,11.481,0.000349844,-3.45612538
1,A09,8,8_1,DI73,TBSV_DI73,25.59333333,36.46,-10.86666667,-9.455666667,702.1651904,2.846439296
1,A01,35,8_1,TBSV,TBSV_DI73,17.38,11.705,5.675,7.086,0.007360401,-2.133098549
1,A04,4,8_1,TBSV,TBSV_DI73,12.67,15.875,-3.205,-1.794,3.467750254,0.540047812
1,G01,30,8_1,TBSV,TBSV_DI73,13.80333333,17.15,-3.346666667,-1.935666667,3.825548641,0.582693728
1,A07,8,8_1,TBSV,TBSV_DI73,13.42333333,17.41,-3.986666667,-2.575666667,5.961463997,0.775352925
1,G07,16,8_1,TBSV,TBSV_DI73,15.14,17.695,-2.555,-1.144,2.20992897,0.344378315
1,A05,na,8_10,DI72,neg_ctrl,37.67,100,-62.33,,,
1,A06,na,8_10,DI73,neg_ctrl,100,30.105,69.895,,,
1,G11,30,8_10,DI72,neg_plt,28.82,13.33,15.49,,,
1,G12,30,8_10,DI73,neg_plt,39.82,11.595,28.225,,,
1,G10,30,8_10,TBSV,neg_plt,31.585,11.31,20.275,,,
1,A02,na,8_10,DI72,pos_ctrl,14.705,41.565,-26.86,,,
1,A03,na,8_10,DI73,pos_ctrl,12.79,27.23,-14.44,,,
1,A01,na,8_10,TBSV,pos_ctrl,10.99,24.115,-13.125,,,
1,C05,50,8_10,DI72,TBSV,13.605,12.41,1.195,2.606,0.164253953,-0.784484169
1,A11,51,8_10,DI72,TBSV,100,13.88,86.12,87.531,4.47E-27,-26.34945655
1,A08,5,8_10,DI72,TBSV,100,15.605,84.395,85.806,1.48E-26,-25.83017981
1,C08,22,8_10,DI72,TBSV,17.21,16.665,0.545,1.956,0.25774208,-0.588814672
1,C02,43,8_10,DI72,TBSV,32.475,18.09,14.385,15.796,1.76E-05,-4.755069812
1,C06,50,8_10,DI73,TBSV,29.365,11.065,18.3,19.711,1.17E-06,-5.933602245
1,A12,51,8_10,DI73,TBSV,100,11.595,88.405,89.816,9.18E-28,-27.03731009
1,A09,5,8_10,DI73,TBSV,100,12.965,87.035,88.446,2.37E-27,-26.624899
1,C03,43,8_10,DI73,TBSV,100,16.215,83.785,85.196,2.26E-26,-25.64655151
1,C09,22,8_10,DI73,TBSV,37.01,25.565,11.445,12.856,0.000134883,-3.870041624
1,C04,50,8_10,TBSV,TBSV,15.94,10.475,5.465,6.876,0.008513688,-2.06988225
1,A10,51,8_10,TBSV,TBSV,12.725,11.805,0.92,2.331,0.198746313,-0.70170092
1,A07,5,8_10,TBSV,TBSV,13.11,12.33,0.78,2.191,0.218999579,-0.65955672
1,C01,43,8_10,TBSV,TBSV,12.555,14.8,-2.245,-0.834,1.782620992,0.251059016
1,C07,22,8_10,TBSV,TBSV,15.36,15.735,-0.375,1.036,0.487677731,-0.311867076
1,E11,27,8_10,DI72,TBSV_DI72,17.64,12.835,4.805,6.216,0.013452331,-1.871202453
1,C11,12,8_10,DI72,TBSV_DI72,17.1005,15.125,1.9755,3.3865,0.095622902,-1.01943808
1,E02,47,8_10,DI72,TBSV_DI72,17.9,16.35,1.55,2.961,0.12842518,-0.891349817
1,E08,17,8_10,DI72,TBSV_DI72,17.565,18,-0.435,0.976,0.508387337,-0.293805276
1,E05,54,8_10,DI72,TBSV_DI72,100,19.11,80.89,82.301,1.68E-25,-24.77506967
1,E12,27,8_10,DI73,TBSV_DI72,100,10.9,89.1,90.511,5.67E-28,-27.24652594
1,C12,12,8_10,DI73,TBSV_DI72,28.115,14.01,14.105,15.516,2.13E-05,-4.670781413
1,E03,47,8_10,DI73,TBSV_DI72,31.035,14.92,16.115,17.526,5.30E-06,-5.275851704
1,E06,54,8_10,DI73,TBSV_DI72,100,16.32,83.68,85.091,2.43E-26,-25.61494336
1,E09,17,8_10,DI73,TBSV_DI72,27.425,16.365,11.06,12.471,0.000176139,-3.754145076
1,E10,27,8_10,TBSV,TBSV_DI72,21.61,10.54,11.07,12.481,0.000174922,-3.757155376
1,C10,12,8_10,TBSV,TBSV_DI72,13.4,13.985,-0.585,0.826,0.564091069,-0.248650776
1,E01,47,8_10,TBSV,TBSV_DI72,17.075,14.365,2.71,4.121,0.057471878,-1.240544612
1,E07,17,8_10,TBSV,TBSV_DI72,13.11,15.105,-1.995,-0.584,1.498999602,0.175801517
1,E04,54,8_10,TBSV,TBSV_DI72,13.095,15.53,-2.435,-1.024,2.033549347,0.308254716
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,3.151,0.112578247,-0.948545516
1,G02,41,8_10,DI72,TBSV_DI73,100,18.28,81.72,83.131,9.44E-26,-25.02492457
1,G05,14,8_10,DI72,TBSV_DI73,22.875,18.575,4.3,5.711,0.019090517,-1.719182305
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,-0.394,1.314031627,0.118605818
1,G08,2,8_10,DI72,TBSV_DI73,100,22.97,77.03,78.441,2.44E-24,-23.61309389
1,A12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04,13.451,8.93E-05,-4.049154472
1,G03,41,8_10,DI73,TBSV_DI73,100,15.915,84.085,85.496,1.83E-26,-25.73686051
1,G09,2,8_10,DI73,TBSV_DI73,18.265,17.475,0.79,2.201,0.217486838,-0.66256702
1,G06,14,8_10,DI73,TBSV_DI73,26.575,17.785,8.79,10.201,0.000849558,-3.070806986
1,A09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,7.881,0.004242117,-2.372417396
1,G01,41,8_10,TBSV,TBSV_DI73,13.27,14.855,-1.585,-0.174,1.128182137,0.052379219
1,G04,14,8_10,TBSV,TBSV_DI73,12.435,15.495,-3.06,-1.649,3.136161816,0.496398463
1,A10,3,8_10,TBSV,TBSV_DI73,15.01,16.015,-1.005,0.406,0.754712984,-0.122218178
1,G07,2,8_10,TBSV,TBSV_DI73,12.365,16.885,-4.52,-3.109,8.627843454,0.935902257
1,A07,38,8_10,TBSV,TBSV_DI73,12.775,19.97,-7.195,-5.784,55.10074805,1.741157495
2,A05,na,3_23,DI72,neg_ctrl,32.92,12.27666667,20.64333333,,,
2,A04,na,3_23,TBSV,neg_ctrl,41.49,38.51,2.98,,,
2,A02,na,3_23,DI72,pos_ctrl,27.39666667,20.68666667,6.71,,,
2,A03,na,3_23,DI73,pos_ctrl,31.55333333,22.51666667,9.036666667,,,
2,A01,na,3_23,TBSV,pos_ctrl,34.30666667,25.78333333,8.523333333,,,
2,A07,10,3_23,DI72,TBSV,17.43,16.73,0.7,2.111,0.231486506,-0.635474321
2,C07,12,3_23,DI72,TBSV,29.955,17.565,12.39,13.801,7.01E-05,-4.15451497
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,-0.6745,0.7365,0.600193666,-0.221708592
2,A10,2,3_23,DI72,TBSV,20.52,18.51,2.01,3.421,0.093363341,-1.029823615
2,A08,10,3_23,DI73,TBSV,100,16.46,83.54,84.951,2.67E-26,-25.57279916
2,C08,12,3_23,DI73,TBSV,36.78,17.195,19.585,20.996,4.78E-07,-6.320425789
2,C11,3,3_23,DI73,TBSV,32.125,17.56,14.565,15.976,1.55E-05,-4.809255211
2,A11,2,3_23,DI73,TBSV,100,17.94,82.06,83.471,7.46E-26,-25.12727477
2,C06,12,3_23,TBSV,TBSV,13.9425,17.6375,-3.695,-2.284,4.870264075,0.68755251
2,A09,2,3_23,TBSV,TBSV,14.2,17.835,-3.635,-2.224,4.671869578,0.66949071
2,A06,10,3_23,TBSV,TBSV,15.74,17.97,-2.23,-0.819,1.76418273,0.246543566
2,C09,3,3_23,TBSV,TBSV,15.035,20.705,-5.67,-4.259,19.14638341,1.282086752
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,3.815,-0.009,1.006257823,0.00270927
2,E05,24,3_23,DI72,TBSV_DI72,14.77,16.19,-1.42,1.416,0.3747499,-0.426258474
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.005,0.806,0.571965487,-0.242630177
2,E02,11,3_23,DI72,TBSV_DI72,16.27,16.875,-0.605,3.661,0.079054971,-1.102070814
2,G06,21,3_23,DI72,TBSV_DI72,19.72,17.47,2.25,85.906,1.38E-26,-25.86028281
2,G03,23,3_23,DI73,TBSV_DI72,100,15.505,84.495,85.906,1.38E-26,-25.86028281
2,E03,11,3_23,DI73,TBSV_DI72,30.435,16.52,13.915,15.326,2.43E-05,-4.613585714
2,G10,33,3_23,DI73,TBSV_DI72,32.07,16.68,15.39,16.801,8.76E-06,-5.057604957
2,G07,21,3_23,DI73,TBSV_DI72,34.28,17.015,17.265,18.676,2.39E-06,-5.622036199
