timepoint,well,plant,date,target,exp_group,target_ct,18s_ct,dct
1,C12,26,3_23,DI72,TBSV,na,16.18,na
1,C10,31,3_23,DI72,TBSV,na,18.01,na
1,C07,15,3_23,DI72,TBSV,na,20.68,na
1,A08,30,3_23,DI73,TBSV,na,11.875,na
1,E12,26,3_23,DI73,TBSV,na,14.915,na
1,C11,31,3_23,DI73,TBSV,na,17.195,na
1,C08,15,3_23,DI73,TBSV,na,17.975,na
1,G06,27,3_23,DI72,TBSV_DI72,na,14.375,na
1,G07,27,3_23,DI73,TBSV_DI72,na,13.02,na
2,A08,10,3_23,DI73,TBSV,na,16.46,na
2,A11,2,3_23,DI73,TBSV,na,17.94,na
2,G03,23,3_23,DI73,TBSV_DI72,na,15.505,na
3,A10,5,3_23,DI72,TBSV,na,14.94,na
3,A11,5,3_23,DI73,TBSV,na,15.075,na
3,E12,6,3_23,DI73,TBSV,na,15.59,na
3,A08,16,3_23,DI73,TBSV,na,15.595,na
3,C08,20,3_23,DI73,TBSV,na,16.955,na
3,C11,19,3_23,DI73,TBSV,na,18.82,na
3,G10,17,3_23,DI73,TBSV_DI72,na,15.02,na
3,G04,19,3_23,DI73,TBSV_DI72,na,16.41,na
1,C07,20,4_9,DI72,TBSV,na,16.23,na
1,C12,2,4_9,DI72,TBSV,na,20.27,na
1,C08,20,4_9,DI73,TBSV,na,15.675,na
1,A08,12,4_9,DI73,TBSV,na,18.75,na
1,E12,2,4_9,DI73,TBSV,na,20.72,na
1,E02,7,4_9,DI72,TBSV_DI73,na,17.56,na
1,G09,31,4_9,DI72,TBSV_DI73,na,17.735,na
1,E05,18,4_9,DI72,TBSV_DI73,na,17.75,na
1,G02,23,4_9,DI72,TBSV_DI73,na,19.895,na
1,E03,7,4_9,DI73,TBSV_DI73,na,17.095,na
1,G10,31,4_9,DI73,TBSV_DI73,na,17.165,na
1,G03,23,4_9,DI73,TBSV_DI73,na,19.195,na
2,E12,8,4_9,DI73,TBSV,na,13.895,na
2,A11,16,4_9,DI73,TBSV,na,15.41,na
2,C11,29,4_9,DI73,TBSV,na,16.14,na
2,A08,25,4_9,DI73,TBSV,na,18.46,na
2,G07,21,4_9,DI73,TBSV_DI73,na,16.23,na
2,G04,30,4_9,DI73,TBSV_DI73,na,16.56,na
2,E03,22,4_9,DI73,TBSV_DI73,na,17.705,na
2,G03,14,4_9,DI73,TBSV_DI73,na,18.54,na
3,G02,28,4_9,DI73,TBSV,na,13.695,na
3,C01,19,4_9,DI73,TBSV,na,18.1,na
3,G05,11,4_9,DI73,TBSV,na,18.535,na
3,E05,24,4_9,DI73,TBSV,na,20.62,na
3,E02,5,4_9,DI73,TBSV,na,20.925,na
3,A06,4,4_9,DI73,TBSV_DI73,na,15.96,na
3,C10,15,4_9,DI73,TBSV_DI73,na,17.375,na
3,A10,10,4_9,DI73,TBSV_DI73,na,17.59,na
3,A03,32,4_9,DI73,TBSV_DI73,na,18.93,na
2,A09,32,8_1,DI73,TBSV,na,19.055,na
2,A12,46,8_1,DI73,TBSV,na,19.215,na
2,E06,23,8_1,DI73,TBSV_DI72,na,15.51,na
2,C03,24,8_1,DI73,TBSV_DI73,na,32.08,na
3,C03,9,8_1,DI73,TBSV,na,15.1005,na
3,A12,40,8_1,DI73,TBSV,na,17.38,na
3,A09,12,8_1,DI73,TBSV,na,19.525,na
3,C06,21,8_1,DI73,TBSV,na,32.57,na
3,C09,31,8_1,DI73,TBSV,na,41.34,na
3,E09,22,8_1,DI73,TBSV_DI72,na,16.475,na
3,E12,45,8_1,DI73,TBSV_DI72,na,17.44,na
3,E03,33,8_1,DI73,TBSV_DI72,na,19.055,na
3,E06,42,8_1,DI73,TBSV_DI72,na,31.79,na
3,E06,49,8_1,DI73,TBSV_DI73,na,14.855,na
3,G06,29,8_1,DI73,TBSV_DI73,na,29.18,na
3,G09,2,8_1,DI73,TBSV_DI73,na,29.68,na
1,A11,51,8_10,DI72,TBSV,na,13.88,na
1,A08,5,8_10,DI72,TBSV,na,15.605,na
1,A12,51,8_10,DI73,TBSV,na,11.595,na
1,A09,5,8_10,DI73,TBSV,na,12.965,na
1,C03,43,8_10,DI73,TBSV,na,16.215,na
1,E05,54,8_10,DI72,TBSV_DI72,na,19.11,na
1,E12,27,8_10,DI73,TBSV_DI72,na,10.9,na
1,E06,54,8_10,DI73,TBSV_DI72,na,16.32,na
1,G02,41,8_10,DI72,TBSV_DI73,na,18.28,na
1,G08,2,8_10,DI72,TBSV_DI73,na,22.97,na
1,G03,41,8_10,DI73,TBSV_DI73,na,15.915,na
2,C09,19,8_10,DI73,TBSV,na,16.51,na
2,C03,53,8_10,DI73,TBSV,na,19.37,na
2,E12,31,8_10,DI73,TBSV_DI72,na,12.83,na
2,E09,44,8_10,DI73,TBSV_DI72,na,20.52,na
3,A12,46,8_10,DI73,TBSV,na,19.92,na
3,C12,21,8_10,DI73,TBSV_DI72,na,16.03,na
3,E09,35,8_10,DI73,TBSV_DI72,na,17.1,na
3,E12,18,8_10,DI73,TBSV_DI72,na,17.675,na
3,E03,36,8_10,DI73,TBSV_DI72,na,17.695,na
3,E01,36,8_10,TBSV,TBSV_DI72,na,17,na
3,C10,21,8_10,TBSV,TBSV_DI72,na,18.415,na
3,C09,33,8_10,DI73,TBSV_DI73,na,21.71,na
3,C12,1,8_10,DI73,TBSV_DI73,na,22.85,na
