timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct
1,A02,35,8_1,DI72,TBSV_DI73,9.97,11.01,-1.04
2,C07,19,8_10,TBSV,TBSV,11.405,16.405,-5
1,G07,2,8_10,TBSV,TBSV_DI73,12.365,16.885,-4.52
1,C04,26,8_1,TBSV,TBSV,12.425,18.53,-6.105
1,G04,14,8_10,TBSV,TBSV_DI73,12.435,15.495,-3.06
1,C01,43,8_10,TBSV,TBSV,12.555,14.8,-2.245
1,C07,43,8_1,TBSV,TBSV,12.595,16.81,-4.215
1,A04,4,8_1,TBSV,TBSV_DI73,12.67,15.875,-3.205
1,A10,51,8_10,TBSV,TBSV,12.725,11.805,0.92
1,A07,38,8_10,TBSV,TBSV_DI73,12.775,19.97,-7.195
2,C01,8,8_10,TBSV,TBSV_DI73,12.955,18.19,-5.235
2,A10,46,8_1,TBSV,TBSV,12.96,15.865,-2.905
2,C01,24,8_1,TBSV,TBSV_DI73,13.025,17.105,-4.08
3,A10,46,8_10,TBSV,TBSV,13.075,18.095,-5.02
1,E04,54,8_10,TBSV,TBSV_DI72,13.095,15.53,-2.435
1,C06,20,4_9,TBSV,TBSV,13.1005,17.065,-3.9645
1,A07,5,8_10,TBSV,TBSV,13.11,12.33,0.78
1,E07,17,8_10,TBSV,TBSV_DI72,13.11,15.105,-1.995
1,G01,41,8_10,TBSV,TBSV_DI73,13.27,14.855,-1.585
3,H07,16,8_10,TBSV,TBSV_DI73,13.29,17.51,-4.22
1,G08,31,4_9,TBSV,TBSV_DI73,13.32,18.935,-5.615
1,A10,33,4_9,DI72,TBSV,13.335,13.26,0.075
1,E04,18,4_9,TBSV,TBSV_DI73,13.34,16.805,-3.465
1,A10,14,8_1,TBSV,TBSV,13.38,17.835,-4.455
3,C07,13,8_10,TBSV,TBSV,13.395,20.495,-7.1
1,C10,12,8_10,TBSV,TBSV_DI72,13.4,13.985,-0.585
1,A07,8,8_1,TBSV,TBSV_DI73,13.42333333,17.41,-3.986666667
3,C07,33,8_10,TBSV,TBSV_DI73,13.44,29.31,-15.87
2,C04,48,8_10,TBSV,TBSV_DI73,13.47,15.965,-2.495
1,C09,31,3_23,TBSV,TBSV,13.48,20.815,-7.335
2,C04,34,8_1,TBSV,TBSV_DI73,13.485,18.055,-4.57
1,G01,23,4_9,TBSV,TBSV_DI73,13.49,18.83,-5.34
3,A09,5,3_23,TBSV,TBSV,13.51,15.195,-1.685
2,G01,23,3_23,TBSV,TBSV_DI72,13.53,15.875,-2.345
1,C05,50,8_10,DI72,TBSV,13.605,12.41,1.195
1,C01,18,8_1,TBSV,TBSV,13.72,14.91,-1.19
2,E04,30,4_9,TBSV,TBSV_DI73,13.725,15.215,-1.49
2,G01,14,4_9,TBSV,TBSV_DI73,13.74,17.03,-3.29
1,C06,15,3_23,TBSV,TBSV,13.77,19.95,-6.18
1,G01,30,8_1,TBSV,TBSV_DI73,13.80333333,17.15,-3.346666667
1,A09,22,3_23,TBSV,TBSV,13.81,14.395,-0.585
3,H01,25,8_10,TBSV,TBSV_DI73,13.86,18.21,-4.35
3,C01,32,8_10,TBSV,TBSV,13.87,22.94,-9.07
2,C04,42,8_10,TBSV,TBSV,13.905,18.85,-4.945
2,C06,12,3_23,TBSV,TBSV,13.9425,17.6375,-3.695
2,G07,16,8_10,TBSV,TBSV_DI73,14.05,18.28,-4.23
2,G01,25,8_10,TBSV,TBSV_DI73,14.06,17.38,-3.32
3,G04,29,8_10,TBSV,TBSV_DI73,14.07,18.62,-4.55
1,A07,51,8_1,TBSV,TBSV,14.11,15.935,-1.825
2,C01,53,8_10,TBSV,TBSV,14.185,18.26,-4.075
2,A09,2,3_23,TBSV,TBSV,14.2,17.835,-3.635
2,E04,24,3_23,TBSV,TBSV_DI72,14.25,16.67,-2.42
3,A06,16,3_23,TBSV,TBSV,14.27,15.44,-1.17
3,C09,19,3_23,TBSV,TBSV,14.28,18.49,-4.21
2,A07,32,8_1,TBSV,TBSV,14.285,16.56,-2.275
3,C09,6,4_9,TBSV,TBSV_DI73,14.31,20.68,-6.37
2,E01,39,8_10,TBSV,TBSV_DI72,14.315,19.65,-5.335
3,G07,7,8_10,TBSV,TBSV_DI73,14.32,18.88,-4.56
2,G08,3,4_9,TBSV,TBSV_DI73,14.38,14.39,-0.01
1,G05,27,3_23,TBSV,TBSV_DI72,14.385,15.115,-0.73
1,E07,39,8_1,TBSV,TBSV_DI72,14.39,12.49,1.9
1,C09,27,4_9,TBSV,TBSV,14.42,16.69,-2.27
2,C06,17,4_9,TBSV,TBSV,14.435,19.405,-4.97
2,G04,40,8_10,TBSV,TBSV_DI73,14.44,19.26,-4.82
3,C04,23,8_10,TBSV,TBSV,14.495,22.765,-8.27
3,H04,40,8_10,TBSV,TBSV_DI73,14.53,18.1,-3.57
1,E04,32,3_23,TBSV,TBSV_DI72,14.555,20.81,-6.255
2,G07,37,8_1,TBSV,TBSV_DI73,14.565,16.285,-1.72
1,A12,26,3_23,TBSV,TBSV,14.595,16.59,-1.995
