timepoint,well,plant,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct
1,A01,na,TBSV,pos_ctrl,12.06,21.31,,,,
1,A02,na,DI72,pos_ctrl,11.32,16.165,,,,
1,A03,na,TBSV,neg_ctrl,100,31.41,,,,
1,A04,na,DI72,neg_ctrl,100,64,,,,
1,A05,30,TBSV,TBSV,11.79,19.04,-7.25,-3.44625,10.89995293,1.037424623
1,A06,30,DI72,TBSV,30.95,51.25,-20.3,-16.49625,9.24E+04,4.965866066
1,A07,13,TBSV,TBSV,11.16,26.945,-15.785,-11.98125,4043.110729,3.606715636
1,A08,13,DI72,TBSV,30.415,2.295,28.12,31.92375,2.45467E-10,-9.610006324
1,A09,11,TBSV,TBSV,17.73,24.36,-6.63,3.904,0.066800374,-1.175221103
1,A10,11,DI72,TBSV,18.425,51.16,-32.735,-22.201,4.82E+06,6.683166934
1,A11,33,TBSV,TBSV,14.74,34.74,-20,-9.466,707.2125174,2.849549939
1,A12,33,DI72,TBSV,17.545,1.135,16.41,26.944,7.74547E-09,-8.110952203
1,C01,27,TBSV,TBSV,10.64,20.355,-9.715,0.819,0.566834706,-0.246543566
1,C03,17,TBSV,TBSV_DI72,15.145,34.775,-19.63,-15.82625,5.81E+04,4.764175969
1,C04,17,DI72,TBSV_DI72,16.57,20.905,-4.335,-0.53125,1.445180807,0.159922185
1,C05,6,TBSV,TBSV_DI72,11.925,12.355,-0.43,3.37375,0.096471727,-1.015599948
1,C06,6,DI72,TBSV_DI72,10.915,12.935,-2.02,1.78375,0.290427506,-0.536962255
1,C07,5,TBSV,TBSV_DI72,14.355,26.62,-12.265,-1.731,3.319578342,0.521082922
1,C08,5,DI72,TBSV_DI72,15.77,1.54,14.23,24.764,3.50989E-08,-7.454706813
1,C09,34,TBSV,TBSV_DI72,12.145,27.21,-15.065,-4.531,23.11888637,1.36396691
1,C11,25,TBSV,TBSV_DI72,14.705,19.03,-4.325,6.209,0.013517761,-1.869095243
