timepoint,well,plant,date,target,exp_group,target_ct,X18S_ct,dct_ratio,method
1,C05,26,8_1,DI72,TBSV,19.81,19.195,-0.100737101,agro
1,G02,25,3_23,DI72,TBSV_DI72,15.025,13.93,0.613445378,agro
1,A10,33,4_9,DI72,TBSV,13.335,13.26,0.02617801,agro
1,A08,51,8_1,DI72,TBSV,16.525,14.73,-0.983561644,agro
1,E05,32,3_23,DI72,TBSV_DI72,16.135,19.17,-9.127819549,agro
1,A07,30,3_23,DI72,TBSV,18.15,13.155,0.552544248,agro
1,E08,39,8_1,DI72,TBSV_DI72,14.675,11.815,1.505263158,agro
1,C08,22,8_10,DI72,TBSV,17.21,16.665,-1.453333333,agro
3,G06,7,3_23,DI72,TBSV_DI72,16.015,18.03,1.21021021,agro
3,C11,3,8_1,DI72,TBSV_DI72,16.935,9.93,-8.439759036,agro
3,E02,33,8_1,DI72,TBSV_DI72,17.33,14.735,0.931777379,agro
3,A11,40,8_1,DI72,TBSV,18.135,16.305,0.340465116,agro
3,A07,16,3_23,DI72,TBSV,30.605,15.97,-12.50854701,agro
3,A08,12,8_1,DI72,TBSV,30.94,17.41,-5.68487395,agro
3,G09,17,3_23,DI72,TBSV_DI72,17.05,13.485,1.086890244,agro
3,C05,21,8_1,DI72,TBSV,16.325,17.29,4.948717949,agro
2,A11,46,8_1,DI72,TBSV,25.21,14.685,-3.623063683,agro
2,C02,53,8_10,DI72,TBSV,29.47,30.38,0.223312883,agro
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,-1.626865672,agro
2,E02,7,8_1,DI72,TBSV_DI72,15.84,15.63,0.432989691,agro
2,E08,44,8_10,DI72,TBSV_DI72,16.535,12.125,-1.274566474,agro
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.037037037,agro
2,C11,52,8_10,DI72,TBSV_DI72,16.33,21.535,3.315286624,agro
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,0.118959436,agro
2,G04,12,DI72,TBSV_DI72,15.225,33.52,-18.295,-43.04705882,leaf_soup
2,E08,21,DI72,TBSV,29.035,2.465,26.57,-6.441212121,leaf_soup
1,A10,11,DI72,TBSV,18.425,2.32,16.105,-2.429110106,leaf_soup
1,A08,13,DI72,TBSV,30.415,2.295,28.12,-1.781438074,leaf_soup
3,C04,28,DI72,TBSV_DI72,23.805,2.17,21.635,-1.612746925,leaf_soup
2,G06,35,DI72,TBSV_DI72,24.425,8.41,16.015,-1.423555556,leaf_soup
3,C02,7,DI72,TBSV,25.38,3.855,21.525,-1.305732484,leaf_soup
2,E10,23,DI72,TBSV,20.66,2.52,18.14,-1.246735395,leaf_soup
1,C08,5,DI72,TBSV_DI72,15.77,1.54,14.23,-1.160211985,leaf_soup
3,A10,1,DI72,TBSV,22.035,20.18,1.855,-1.134556575,leaf_soup
2,E06,18,DI72,TBSV,18.8,2.4,16.4,-1.087533156,leaf_soup
1,A05,30,TBSV,TBSV,11.79,19.04,-7.25,-0.441803778,leaf_soup
1,C01,27,TBSV,TBSV,10.64,20.355,-9.715,-0.341476274,leaf_soup
3,C06,3,DI72,TBSV_DI72,19.685,16.19,3.495,-0.273046875,leaf_soup
3,C10,19,DI72,TBSV_DI72,20.165,19.275,0.89,-0.06148532,leaf_soup
2,G02,15,DI72,TBSV_DI72,16.125,15.81,0.315,0.100961538,leaf_soup
1,C04,17,DI72,TBSV_DI72,16.57,20.905,-4.335,0.220835456,leaf_soup
1,C12,25,DI72,TBSV_DI72,16.41,18.845,-2.435,0.56300578,leaf_soup
2,G08,31,DI72,TBSV_DI72,13.7,19.13,-5.43,0.744345442,leaf_soup
1,A11,33,TBSV,TBSV,14.74,34.74,-20,1.327580485,leaf_soup
2,G10,29,DI72,TBSV_DI72,17.195,27.84,-10.645,2.116302187,leaf_soup
3,E02,26,DI72,TBSV_DI72,16.675,28.555,-11.88,2.179816514,leaf_soup
3,C12,2,DI72,TBSV_DI72,17.52,33.87,-16.35,2.713692946,leaf_soup
3,A12,36,DI72,TBSV,15.32,20.495,-5.175,4.123505976,leaf_soup
2,E04,24,DI72,TBSV,11.59,16.675,-5.085,4.686635945,leaf_soup
1,C06,6,DI72,TBSV_DI72,10.915,12.935,-2.02,4.697674419,leaf_soup
2,E02,9,DI72,TBSV,17.45,37.075,-19.625,7.461977186,leaf_soup
