exp_group,target,timepoint,num.na,num.plt,prop.na
TBSV,DI72,1,7,20,0.35
TBSV,DI73,1,10,20,0.5
TBSV,TBSV,1,0,20,0
TBSV_DI72,DI72,1,2,15,0.133333333
TBSV_DI72,DI73,1,3,11,0.272727273
TBSV_DI72,TBSV,1,0,15,0
TBSV_DI73,DI72,1,6,15,0.4
TBSV_DI73,DI73,1,4,14,0.285714286
TBSV_DI73,TBSV,1,0,15,0
TBSV,DI72,2,0,18,0
TBSV,DI73,2,10,17,0.588235294
TBSV,TBSV,2,0,19,0
TBSV_DI72,DI72,2,0,15,0
TBSV_DI72,DI73,2,4,10,0.4
TBSV_DI72,TBSV,2,0,15,0
TBSV_DI73,DI72,2,0,13,0
TBSV_DI73,DI73,2,5,15,0.333333333
TBSV_DI73,TBSV,2,0,15,0
TBSV,DI72,3,1,17,0.058823529
TBSV,DI73,3,16,20,0.8
TBSV,TBSV,3,0,20,0
TBSV_DI72,DI72,3,0,15,0
TBSV_DI72,DI73,3,10,12,0.833333333
TBSV_DI72,TBSV,3,2,15,0.133333333
TBSV_DI73,DI72,3,0,15,0
TBSV_DI73,DI73,3,9,15,0.6
TBSV_DI73,TBSV,3,0,18,0
