timepoint,target,exp_group,status
3,TBSV,TBSV_DI73,1
3,DI72,TBSV_DI73,1
1,DI73,TBSV_DI73,1
3,TBSV,TBSV,1
3,TBSV,TBSV,1
1,TBSV,TBSV,1
1,TBSV,TBSV_DI73,1
3,TBSV,TBSV,1
3,TBSV,TBSV_DI73,1
1,DI72,TBSV_DI73,1
1,TBSV,TBSV_DI72,1
3,TBSV,TBSV_DI73,1
1,TBSV,TBSV,1
1,TBSV,TBSV,1
2,DI72,TBSV_DI73,1
3,TBSV,TBSV_DI73,1
2,TBSV,TBSV,1
1,TBSV,TBSV_DI73,1
1,TBSV,TBSV_DI73,1
2,TBSV,TBSV_DI72,1
3,TBSV,TBSV_DI72,1
2,TBSV,TBSV_DI73,1
2,DI72,TBSV_DI72,1
1,TBSV,TBSV,1
3,TBSV,TBSV,1
2,TBSV,TBSV,1
2,TBSV,TBSV,1
2,TBSV,TBSV,1
2,TBSV,TBSV_DI73,1
1,TBSV,TBSV,1
3,DI72,TBSV_DI73,1
3,TBSV,TBSV,1
3,DI72,TBSV_DI72,1
2,TBSV,TBSV_DI73,1
3,TBSV,TBSV_DI73,1
3,TBSV,TBSV_DI73,1
1,TBSV,TBSV_DI73,1
3,DI72,TBSV_DI73,1
1,TBSV,TBSV,1
3,TBSV,TBSV_DI73,1
2,DI72,TBSV_DI73,1
2,TBSV,TBSV_DI73,1
3,TBSV,TBSV_DI73,1
1,TBSV,TBSV,1
3,TBSV,TBSV,1
2,TBSV,TBSV_DI73,1
2,TBSV,TBSV,1
1,TBSV,TBSV_DI73,1
1,TBSV,TBSV,1
2,TBSV,TBSV_DI72,1
3,DI73,TBSV,1
2,TBSV,TBSV,1
2,TBSV,TBSV,1
3,TBSV,TBSV_DI73,1
1,TBSV,TBSV_DI73,1
2,TBSV,TBSV_DI72,1
1,TBSV,TBSV_DI73,1
2,TBSV,TBSV_DI73,1
2,TBSV,TBSV_DI73,1
1,TBSV,TBSV_DI73,1
2,DI72,TBSV_DI73,1
1,TBSV,TBSV_DI73,1
2,TBSV,TBSV_DI72,1
1,DI72,TBSV_DI72,1
3,DI72,TBSV,1
2,TBSV,TBSV,1
2,TBSV,TBSV,1
2,TBSV,TBSV,1
2,TBSV,TBSV,1
1,TBSV,TBSV_DI73,1
2,TBSV,TBSV_DI73,1
3,TBSV,TBSV,1
3,TBSV,TBSV,1
1,TBSV,TBSV_DI72,1
1,TBSV,TBSV_DI73,1
2,TBSV,TBSV_DI72,1
2,TBSV,TBSV,1
3,TBSV,TBSV,1
2,TBSV,TBSV_DI72,1
2,TBSV,TBSV,1
1,TBSV,TBSV,1
3,TBSV,TBSV_DI73,1
1,TBSV,TBSV,1
2,TBSV,TBSV,1
3,TBSV,TBSV_DI73,1
2,DI72,TBSV_DI73,1
2,DI72,TBSV,1
