timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,2pwrnegratio,log_2pwrnegratio
3,E06,42,8_1,DI73,TBSV_DI72,100,31.79,68.21,-1240.181818,#NUM!,#NUM!
3,G03,50,8_1,DI73,TBSV_DI73,42.465,10.66,31.805,-1060.166667,#NUM!,#NUM!
2,G09,3,4_9,DI72,TBSV_DI73,20.225,14.15,6.075,-607.5,7.5114E+182,182.8757224
2,G10,3,4_9,DI73,TBSV_DI73,21.37,15.6,5.77,-577,4.9466E+173,173.6943075
3,C06,21,8_1,DI73,TBSV,100,32.57,67.43,-345.7948718,1.2435E+104,104.0946288
3,G04,19,3_23,DI73,TBSV_DI72,100,16.41,83.59,-298.5357143,7.38252E+89,89.86820478
3,A03,32,4_9,DI73,TBSV_DI73,100,18.93,81.07,-253.34375,1.83683E+76,76.26406796
3,C10,15,4_9,DI73,TBSV_DI73,100,17.375,82.625,-196.7261905,1.66144E+59,59.22048427
3,E05,24,4_9,DI73,TBSV,100,20.62,79.38,-176.4,1.26384E+53,53.10169124
3,C01,19,4_9,DI73,TBSV,100,18.1,81.9,-140,1.3938E+42,42.14419939
1,G07,27,3_23,DI73,TBSV_DI72,100,13.02,86.98,-119.1506849,7.37786E+35,35.86793017
1,G06,27,3_23,DI72,TBSV_DI72,100,14.375,85.625,-117.2945205,2.03783E+35,35.30916901
2,C11,29,4_9,DI73,TBSV,100,16.14,83.86,-101.0361446,2.59962E+30,30.41491016
3,E02,5,4_9,DI73,TBSV,100,20.925,79.075,-79.87373737,1.10762E+24,24.04439082
3,A08,16,3_23,DI73,TBSV,100,15.595,84.405,-72.14102564,5.2073E+21,21.71661264
3,G09,2,8_1,DI73,TBSV_DI73,100,29.68,70.32,-62.2300885,5.40908E+18,18.73312327
2,G04,30,4_9,DI73,TBSV_DI73,100,16.56,83.44,-56,7.20576E+16,16.85767976
2,E03,22,4_9,DI73,TBSV_DI73,100,17.705,82.295,-54.32013201,2.249E+16,16.3519891
1,G03,41,8_10,DI73,TBSV_DI73,100,15.915,84.085,-53.05047319,9.3279E+15,15.96978371
1,G02,41,8_10,DI72,TBSV_DI73,100,18.28,81.72,-51.55835962,3.31599E+15,15.52061277
3,A10,5,3_23,DI72,TBSV,100,14.94,85.06,-50.48071217,1.57112E+15,15.19620856
3,A11,5,3_23,DI73,TBSV,100,15.075,84.925,-50.40059347,1.48625E+15,15.17209043
1,E12,26,3_23,DI73,TBSV,100,14.915,85.085,-42.64912281,6.89708E+12,12.83866525
1,C12,26,3_23,DI72,TBSV,100,16.18,83.82,-42.01503759,4.44413E+12,12.64778658
3,E06,49,8_1,DI73,TBSV_DI73,100,14.855,85.145,-38.53586784,3.98522E+11,11.60045213
2,A08,10,3_23,DI73,TBSV,100,16.46,83.54,-37.46188341,1.893E+11,11.2771506
1,C03,43,8_10,DI73,TBSV,100,16.215,83.785,-37.32071269,1.71654E+11,11.23465398
2,G03,23,3_23,DI73,TBSV_DI72,100,15.505,84.495,-36.03198294,70259922907,10.84670767
