timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,dct_ratio,ddct_ratio
2,G09,3,4_9,DI72,TBSV_DI73,20.225,14.15,6.075,-45.712,-607.5,-32.62812277
3,E05,24,4_9,DI73,TBSV,100,20.62,79.38,8.225,-176.4,8.558792924
3,C01,19,4_9,DI73,TBSV,100,18.1,81.9,10.745,-140,13.00847458
1,G07,27,3_23,DI73,TBSV_DI72,100,13.02,86.98,15.825,-119.1506849,23.23788546
1,G06,27,3_23,DI72,TBSV_DI72,100,14.375,85.625,33.838,-117.2945205,49.6886931
3,E02,5,4_9,DI73,TBSV,100,20.925,79.075,7.92,-79.87373737,18.81235154
1,G02,41,8_10,DI72,TBSV_DI73,100,18.28,81.72,29.933,-51.55835962,-172.0287356
3,A10,5,3_23,DI72,TBSV,100,14.94,85.06,33.273,-50.48071217,-121.4343066
3,A11,5,3_23,DI73,TBSV,100,15.075,84.925,13.77,-50.40059347,-50.25547445
1,E12,26,3_23,DI73,TBSV,100,14.915,85.085,13.93,-42.64912281,-23.85273973
1,C12,26,3_23,DI72,TBSV,100,16.18,83.82,32.033,-42.01503759,-54.8510274
2,A08,10,3_23,DI73,TBSV,100,16.46,83.54,12.385,-37.46188341,-15.12210012
1,C03,43,8_10,DI73,TBSV,100,16.215,83.785,12.63,-37.32071269,-15.14388489
2,G03,23,3_23,DI73,TBSV_DI72,100,15.505,84.495,13.34,-36.03198294,-14.28265525
1,E02,7,4_9,DI72,TBSV_DI73,100,17.56,82.44,30.653,-33.85626283,-29.93457031
1,E05,54,8_10,DI72,TBSV_DI72,100,19.11,80.89,29.103,-33.21971253,-28.42089844
3,G06,29,8_1,DI73,TBSV_DI73,100,29.18,70.82,-0.335,-31.33628319,0.394581861
1,C09,22,8_10,DI73,TBSV,37.01,25.565,11.445,-59.71,-30.52,-57.63513514
1,A11,22,3_23,DI73,TBSV,30.96,13.225,17.735,-53.42,-30.31623932,-64.67312349
3,E06,24,4_9,DI72,TBSV,30.81,17.375,13.435,-38.352,-29.85555556,-39.90842872
3,C11,15,4_9,DI72,TBSV_DI73,28.53,16.03,12.5,-39.287,-29.76190476,-39.64379415
1,E05,18,4_9,DI72,TBSV_DI73,100,17.75,82.25,30.463,-23.73737374,-14.83106134
1,C07,20,4_9,DI72,TBSV,100,16.23,83.77,31.983,-21.13002901,-12.52516154
3,A09,24,8_10,DI73,TBSV,38.8,17.41,21.39,-49.765,-19.44545455,-160.0160772
