timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,phenotype,recovery
1,G07,27,3_23,DI73,TBSV_DI72,100,13.02,86.98,-119.1506849,1.5,N
1,G06,27,3_23,DI72,TBSV_DI72,100,14.375,85.625,-117.2945205,1.5,N
1,E12,26,3_23,DI73,TBSV,100,14.915,85.085,-42.64912281,2,N
1,C12,26,3_23,DI72,TBSV,100,16.18,83.82,-42.01503759,2,N
1,A11,22,3_23,DI73,TBSV,30.96,13.225,17.735,-30.31623932,2,N
1,A10,22,3_23,DI72,TBSV,23.895,15.085,8.81,-15.05982906,2,N
1,C07,15,3_23,DI72,TBSV,100,20.68,79.32,-12.83495146,2,N
1,C10,31,3_23,DI72,TBSV,100,18.01,81.99,-11.17791411,2,N
1,E05,32,3_23,DI72,TBSV_DI72,16.135,19.17,-3.035,-9.127819549,2,N
1,E03,28,3_23,DI73,TBSV_DI72,28.68,17.82,10.86,-0.597605893,2,N
1,C11,31,3_23,DI73,TBSV,100,17.195,82.805,-0.088581607,2,N
1,C08,15,3_23,DI73,TBSV,100,17.975,82.025,-0.075342883,2,N
1,G10,9,3_23,DI73,TBSV_DI72,40.83,12.325,28.505,0.025083319,1,N
1,E02,28,3_23,DI72,TBSV_DI72,20.505,20.715,-0.21,0.032357473,2,N
1,A08,30,3_23,DI73,TBSV,100,11.875,88.125,0.10258156,1,N
1,G03,25,3_23,DI73,TBSV_DI72,29.57,13.03,16.54,0.107920193,2,N
1,A07,30,3_23,DI72,TBSV,18.15,13.155,4.995,0.552544248,1,N
1,G02,25,3_23,DI72,TBSV_DI72,15.025,13.93,1.095,0.613445378,2,N
1,G09,9,3_23,DI72,TBSV_DI72,23.72,13.955,9.765,13.65734266,1,N
2,A08,10,3_23,DI73,TBSV,100,16.46,83.54,-37.46188341,4,N
2,G03,23,3_23,DI73,TBSV_DI72,100,15.505,84.495,-36.03198294,3.5,N
2,C07,12,3_23,DI72,TBSV,29.955,17.565,12.39,-3.353179973,3.5,N
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,3.815,-1.626865672,3.5,N
2,E02,11,3_23,DI72,TBSV_DI72,16.27,16.875,-0.605,-0.75625,3.5,N
2,G06,21,3_23,DI72,TBSV_DI72,19.72,17.47,2.25,-0.588235294,3.5,N
2,A10,2,3_23,DI72,TBSV,20.52,18.51,2.01,-0.552957359,4,N
2,C11,3,3_23,DI73,TBSV,32.125,17.56,14.565,-0.389289392,3,N
2,A07,10,3_23,DI72,TBSV,17.43,16.73,0.7,-0.313901345,4,N
2,G07,21,3_23,DI73,TBSV_DI72,34.28,17.015,17.265,-0.221546481,3.5,N
2,C08,12,3_23,DI73,TBSV,36.78,17.195,19.585,-0.188664794,3.5,N
2,A11,2,3_23,DI73,TBSV,100,17.94,82.06,-0.044296856,4,N
2,G10,33,3_23,DI73,TBSV_DI72,32.07,16.68,15.39,0.00877193,4,N
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.005,0.037037037,4,N
2,E03,11,3_23,DI73,TBSV_DI72,30.435,16.52,13.915,0.057491915,3.5,N
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,-0.6745,0.118959436,3,N
2,E05,24,3_23,DI72,TBSV_DI72,14.77,16.19,-1.42,0.58677686,3.5,N
3,A10,5,3_23,DI72,TBSV,100,14.94,85.06,-50.48071217,3,N
3,A11,5,3_23,DI73,TBSV,100,15.075,84.925,-50.40059347,3,N
3,C11,19,3_23,DI73,TBSV,100,18.82,81.18,-19.28266033,4,Y
3,A07,16,3_23,DI72,TBSV,30.605,15.97,14.635,-12.50854701,4,N
3,C10,19,3_23,DI72,TBSV,31.385,18.755,12.63,-3,4,Y
3,C07,20,3_23,DI72,TBSV,19.27,18.095,1.175,-0.480572597,4,N
3,G07,7,3_23,DI73,TBSV_DI72,30.075,16.71,13.365,-0.124579125,4,Y
3,C08,20,3_23,DI73,TBSV,100,16.955,83.045,-0.029441869,4,N
3,A08,16,3_23,DI73,TBSV,100,15.595,84.405,-0.013861738,4,N
3,G04,19,3_23,DI73,TBSV_DI72,100,16.41,83.59,-0.003349683,4,Y
3,E12,6,3_23,DI73,TBSV,100,15.59,84.41,0.004857244,4,N
3,G03,4,3_23,DI73,TBSV_DI72,33.805,16.57,17.235,0.012764723,4,Y
3,G10,17,3_23,DI73,TBSV_DI72,100,15.02,84.98,0.038597317,4,Y
3,E05,19,3_23,DI72,TBSV_DI72,16.58,16.64,-0.06,0.214285714,4,Y
3,G02,4,3_23,DI72,TBSV_DI72,15.925,15.815,0.11,0.5,4,Y
3,G09,17,3_23,DI72,TBSV_DI72,17.05,13.485,3.565,1.086890244,4,Y
3,G06,7,3_23,DI72,TBSV_DI72,16.015,18.03,-2.015,1.21021021,4,Y
3,E02,18,3_23,DI72,TBSV_DI72,16.615,13.055,3.56,1.47107438,4,Y
3,E03,18,3_23,DI73,TBSV_DI72,40.855,13.725,27.13,11.2107438,4,Y
3,C12,6,3_23,DI72,TBSV,30.925,16.21,14.715,35.8902439,4,N
1,E02,7,4_9,DI72,TBSV_DI73,100,17.56,82.44,-33.85626283,1.5,N
1,E05,18,4_9,DI72,TBSV_DI73,100,17.75,82.25,-23.73737374,2,N
1,C07,20,4_9,DI72,TBSV,100,16.23,83.77,-21.13002901,2,N
1,C12,2,4_9,DI72,TBSV,100,20.27,79.73,-15.43659245,1.5,N
1,G02,23,4_9,DI72,TBSV_DI73,100,19.895,80.105,-15.00093633,2,N
1,G09,31,4_9,DI72,TBSV_DI73,100,17.735,82.265,-14.650935,2,N
1,A07,12,4_9,DI72,TBSV,31.105,18.095,13.01,-2.718913271,2,N
1,G04,18,4_9,DI73,TBSV_DI73,31.135,16.37,14.765,-0.2346766,2,N
1,C11,27,4_9,DI73,TBSV,26.175,16.325,9.85,-0.230456853,2,N
1,G10,31,4_9,DI73,TBSV_DI73,100,17.165,82.835,-0.067785356,2,N
1,G03,23,4_9,DI73,TBSV_DI73,100,19.195,80.805,-0.066085019,2,N
1,E12,2,4_9,DI73,TBSV,100,20.72,79.28,-0.06514884,1.5,N
1,A08,12,4_9,DI73,TBSV,100,18.75,81.25,-0.058892308,2,N
1,C08,20,4_9,DI73,TBSV,100,15.675,84.325,-0.047014527,2,N
1,E03,7,4_9,DI73,TBSV_DI73,100,17.095,82.905,-0.029370967,1.5,N
1,A10,33,4_9,DI72,TBSV,13.335,13.26,0.075,0.02617801,2,N
1,G07,26,4_9,DI73,TBSV_DI73,26.82,12.82,14,0.033928571,3,N
1,A11,33,4_9,DI73,TBSV,29.08,13.195,15.885,0.180358829,2,N
1,C10,27,4_9,DI72,TBSV,15.5,16.92,-1.42,0.625550661,2,N
1,G06,26,4_9,DI72,TBSV_DI73,14.71,13.375,1.335,2.810526316,3,N
2,G09,3,4_9,DI72,TBSV_DI73,20.225,14.15,6.075,-607.5,3.5,N
2,E02,22,4_9,DI72,TBSV_DI73,30.995,15.57,15.425,-10.18151815,3.5,N
2,C10,29,4_9,DI72,TBSV,21.315,14.32,6.995,-8.427710843,3.5,N
2,G02,14,4_9,DI72,TBSV_DI73,29.59,17.01,12.58,-3.823708207,3,N
2,A07,25,4_9,DI72,TBSV,26.75,18.115,8.635,-3.628151261,4,N
2,E05,30,4_9,DI72,TBSV_DI73,19.9,15.05,4.85,-3.255033557,3.5,N
2,C07,17,4_9,DI72,TBSV,22.375,17.97,4.405,-0.886317907,3.5,N
2,C08,17,4_9,DI73,TBSV,39.765,18.555,21.21,-0.234323432,3.5,N
2,G03,14,4_9,DI73,TBSV_DI73,100,18.54,81.46,-0.04038792,3,N
2,A08,25,4_9,DI73,TBSV,100,18.46,81.54,-0.029188129,4,N
2,E03,22,4_9,DI73,TBSV_DI73,100,17.705,82.295,-0.018409381,3.5,N
2,G04,30,4_9,DI73,TBSV_DI73,100,16.56,83.44,-0.017857143,3.5,N
2,C11,29,4_9,DI73,TBSV,100,16.14,83.86,-0.009897448,3.5,N
2,G10,3,4_9,DI73,TBSV_DI73,21.37,15.6,5.77,-0.001733102,3.5,N
2,G07,21,4_9,DI73,TBSV_DI73,100,16.23,83.77,0.01145995,4,N
2,E12,8,4_9,DI73,TBSV,100,13.895,86.105,0.05324894,4,Y
2,A11,16,4_9,DI73,TBSV,100,15.41,84.59,0.054734602,3,Y
2,A10,16,4_9,DI72,TBSV,17.41,14.23,3.18,0.686825054,3,Y
2,C12,8,4_9,DI72,TBSV,17.005,13.115,3.89,0.848418757,4,Y
2,G06,21,4_9,DI72,TBSV_DI73,19.185,14.84,4.345,4.526041667,4,N
