timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct
1,C04,26,8_1,TBSV,TBSV,12.425,18.53,-6.105,-4.42402,21.46657319,1.331762721
1,C01,43,8_10,TBSV,TBSV,12.555,14.8,-2.245,-0.56402,1.478382926,0.169786938
1,C07,43,8_1,TBSV,TBSV,12.595,16.81,-4.215,-2.53402,5.791832981,0.76281603
1,A10,51,8_10,TBSV,TBSV,12.725,11.805,0.92,2.60098,0.164826487,-0.782972998
1,C06,20,4_9,TBSV,TBSV,13.1005,17.065,-3.9645,-2.28352,4.868643955,0.687408016
1,A07,5,8_10,TBSV,TBSV,13.11,12.33,0.78,2.46098,0.181623149,-0.740828799
1,A10,14,8_1,TBSV,TBSV,13.38,17.835,-4.455,-2.77402,6.840112247,0.835063229
1,C09,31,3_23,TBSV,TBSV,13.48,20.815,-7.335,-5.65402,50.35349455,1.702029616
1,C01,18,8_1,TBSV,TBSV,13.72,14.91,-1.19,0.49098,0.711541595,-0.147799707
1,C06,15,3_23,TBSV,TBSV,13.77,19.95,-6.18,-4.49902,22.61205177,1.354339971
1,A09,22,3_23,TBSV,TBSV,13.81,14.395,-0.585,1.09598,0.467818234,-0.329922855
1,A07,51,8_1,TBSV,TBSV,14.11,15.935,-1.825,-0.14402,1.104979803,0.04335434
1,C09,27,4_9,TBSV,TBSV,14.42,16.69,-2.27,-0.58902,1.504224604,0.177312688
1,A12,26,3_23,TBSV,TBSV,14.595,16.59,-1.995,-0.31402,1.243166903,0.094529439
1,A06,12,4_9,TBSV,TBSV,14.82,19.605,-4.785,-3.10402,8.598112577,0.934403127
1,C07,22,8_10,TBSV,TBSV,15.36,15.735,-0.375,1.30598,0.404446281,-0.393139154
1,A12,2,4_9,TBSV,TBSV,15.715,20.88,-5.165,-3.48402,11.18908377,1.048794525
1,C04,50,8_10,TBSV,TBSV,15.94,10.475,5.465,7.14598,0.007060666,-2.151154328
1,A09,33,4_9,TBSV,TBSV,16.48,13.615,2.865,4.54598,0.042807874,-1.36847634
1,A06,30,3_23,TBSV,TBSV,21.2,12.16,9.04,10.72098,0.000592466,-3.227336563
1,E04,54,8_10,TBSV,TBSV_DI72,13.095,15.53,-2.435,-0.75402,1.6864856,0.226982637
1,E07,17,8_10,TBSV,TBSV_DI72,13.11,15.105,-1.995,-0.31402,1.243166903,0.094529439
1,C10,12,8_10,TBSV,TBSV_DI72,13.4,13.985,-0.585,1.09598,0.467818234,-0.329922855
1,G05,27,3_23,TBSV,TBSV_DI72,14.385,15.115,-0.73,0.95098,0.517280962,-0.286273505
1,E07,39,8_1,TBSV,TBSV_DI72,14.39,12.49,1.9,3.58098,0.083563689,-1.077982394
1,E04,32,3_23,TBSV,TBSV_DI72,14.555,20.81,-6.255,-4.57402,23.81865428,1.376917221
1,G08,9,3_23,TBSV,TBSV_DI72,14.91,14.195,0.715,2.39598,0.189993241,-0.721261849
1,C10,11,8_1,TBSV,TBSV_DI72,14.925,16.215,-1.29,0.39098,0.762611399,-0.117696708
1,E01,28,3_23,TBSV,TBSV_DI72,15.775,22.265,-6.49,-4.80902,28.03233469,1.44765927
1,E10,10,8_1,TBSV,TBSV_DI72,15.855,17.24,-1.385,0.29598,0.814518855,-0.089098858
1,E01,5,8_1,TBSV,TBSV_DI72,15.955,15.585,0.37,2.05098,0.241320102,-0.617406501
1,G01,25,3_23,TBSV,TBSV_DI72,17.005,15.22,1.785,3.46598,0.09049739,-1.043363944
1,E01,47,8_10,TBSV,TBSV_DI72,17.075,14.365,2.71,4.39098,0.047663212,-1.32181669
1,E04,13,8_1,TBSV,TBSV_DI72,17.915,17.605,0.31,1.99098,0.251567943,-0.599344701
1,E10,27,8_10,TBSV,TBSV_DI72,21.61,10.54,11.07,12.75098,0.000145068,-3.838427454
1,F04,32,3_23,TBSV,TBSV_DI72,26.58,19.66,6.92,8.60098,0.002575414,-2.589152972
1,G07,2,8_10,TBSV,TBSV_DI73,12.365,16.885,-4.52,-2.83902,7.155338408,0.854630178
1,G04,14,8_10,TBSV,TBSV_DI73,12.435,15.495,-3.06,-1.37902,2.600916349,0.415126385
1,A04,4,8_1,TBSV,TBSV_DI73,12.67,15.875,-3.205,-1.52402,2.875912934,0.458775734
1,A07,38,8_10,TBSV,TBSV_DI73,12.775,19.97,-7.195,-5.51402,45.69676084,1.659885417
1,G01,41,8_10,TBSV,TBSV_DI73,13.27,14.855,-1.585,0.09598,0.935636468,-0.028892859
1,G08,31,4_9,TBSV,TBSV_DI73,13.32,18.935,-5.615,-3.93402,15.28473887,1.184258024
1,E04,18,4_9,TBSV,TBSV_DI73,13.34,16.805,-3.465,-1.78402,3.443844495,0.537043533
1,A07,8,8_1,TBSV,TBSV_DI73,13.42333333,17.41,-3.986666667,-2.305686667,4.944027154,0.694080847
1,G01,23,4_9,TBSV,TBSV_DI73,13.49,18.83,-5.34,-3.65902,12.6320773,1.101474775
1,G01,30,8_1,TBSV,TBSV_DI73,13.80333333,17.15,-3.346666667,-1.665686667,3.172646244,0.50142165
1,E01,7,4_9,TBSV,TBSV_DI73,14.66,17.095,-2.435,-0.75402,1.6864856,0.226982637
1,G05,26,4_9,TBSV,TBSV_DI73,14.735,14.26,0.475,2.15598,0.224380623,-0.64901465
1,A10,3,8_10,TBSV,TBSV_DI73,15.01,16.015,-1.005,0.67598,0.625906906,-0.203490256
1,G07,16,8_1,TBSV,TBSV_DI73,15.14,17.695,-2.555,-0.87402,1.832762697,0.263106237
1,A01,35,8_1,TBSV,TBSV_DI73,17.38,11.705,5.675,7.35598,0.006104209,-2.214370628
2,C07,19,8_10,TBSV,TBSV,11.405,16.405,-5,-3.31902,9.979862925,0.999124576
2,A10,46,8_1,TBSV,TBSV,12.96,15.865,-2.905,-1.22402,2.335967172,0.368466735
2,C04,42,8_10,TBSV,TBSV,13.905,18.85,-4.945,-3.26402,9.606560594,0.982567926
2,C06,12,3_23,TBSV,TBSV,13.9425,17.6375,-3.695,-2.01402,4.039061183,0.606280432
2,C01,53,8_10,TBSV,TBSV,14.185,18.26,-4.075,-2.39402,5.256199374,0.72067183
